group,rev,predicted
1_0,1,1
2_0,1,1
3_0,1,1
4_0,1,1
4_1,1,1
5_0,1,1
5_1,1,1
6_0,1,1
6_1,1,0
7_0,1,1
8_0,1,1
8_1,1,1
9_0,1,1
10_0,1,1
11_0,1,1
12_0,1,1
12_1,1,0
13_0,1,1
14_0,1,1
14_1,1,0
15_0,1,1
16_0,1,1
16_1,1,1
17_0,1,1
18_0,1,1
19_0,1,1
19_1,1,1
20_0,1,1
20_1,1,1
21_0,1,1
22_0,1,0
23_0,1,1
24_0,0,0
25_0,0,0
25_1,0,0
25_2,0,0
26_0,0,0
26_1,0,0
26_2,0,0
26_3,0,0
26_4,0,1
26_5,0,0
27_0,0,0
27_1,0,1
27_2,0,1
27_3,0,1
28_0,0,1
28_1,0,0
28_2,0,0
29_0,0,0
29_1,0,1
29_2,0,1
30_0,0,0
31_0,0,0
31_1,0,0
32_0,0,0
32_1,0,0
32_2,0,0
32_3,0,0
33_0,0,1
33_1,0,0
33_2,0,0
34_0,0,0
34_1,0,0
35_0,0,0
36_0,0,0
36_1,0,1
