,AMS_ij,normalized_AMS_ij
mlpack/mlpack -> statsmodels/statsmodels,-0.1115786702982412,-1.318160010994222
scikit-learn/scikit-learn -> statsmodels/statsmodels,0.4025719626424331,3.0426498161996784
statsmodels/statsmodels -> mlpack/mlpack,-1.545464055073539,-11.197449351429706
scikit-learn/scikit-learn -> mlpack/mlpack,-0.33715813340090683,-4.442672689246588
statsmodels/statsmodels -> scikit-learn/scikit-learn,0.47913133877941094,1.924804585270654
mlpack/mlpack -> scikit-learn/scikit-learn,-0.12339395570276018,-2.8680162245390766
