,jquery/jquery,dojo/dojo,yui/yui3
2007-11-10,0.46645581309446854,0.7771724074245083,3.239380367531628
2007-11-11,0.4972681380244406,0.42423123095392007,4.152545633638071
2007-11-12,-0.14979068550497127,0.5950995782928556,-0.25921907224428226
2007-11-13,-0.5590236094437775,-0.2515390771693292,-1.7017422353556808
2007-11-14,2.6909763905562225,0.6907686151383631,-3.352841136454582
2007-11-15,-0.03979284021300827,1.5781312525010003,-2.1550389386523845
2007-11-16,6.093906793486625,1.1861359928586819,0.07691538153723002
2007-11-17,3.4664558130944685,0.7771724074245083,3.239380367531628
2007-11-18,1.4972681380244406,0.42423123095392007,4.152545633638071
2007-11-19,1.8502093144950287,-0.40490042170714435,-0.25921907224428226
2007-11-20,-0.5590236094437775,0.7484609228306708,-1.7017422353556808
2007-11-21,-0.30902360944377755,0.6907686151383631,-3.352841136454582
2007-11-22,-0.03979284021300827,-0.42186874749899966,-2.1550389386523845
2007-11-23,0.09390679348662542,0.18613599285868196,0.07691538153723002
2007-11-24,0.46645581309446854,0.7771724074245083,3.239380367531628
2007-11-25,0.4972681380244406,0.42423123095392007,4.152545633638071
2007-11-26,-0.14979068550497127,-0.40490042170714435,-0.25921907224428226
2007-11-27,2.4409763905562225,-0.2515390771693292,-1.7017422353556808
2007-11-28,5.690976390556222,-0.3092313848616369,-3.352841136454582
2007-11-29,1.9602071597869917,-0.42186874749899966,-2.1550389386523845
2007-11-30,4.093906793486625,0.18613599285868196,0.07691538153723002
2007-12-01,0.46645581309446854,2.7771724074245085,3.239380367531628
2007-12-02,0.4972681380244406,1.42423123095392,4.152545633638071
2007-12-03,0.8502093144950287,-0.40490042170714435,-0.25921907224428226
2007-12-04,9.440976390556223,2.7484609228306707,-1.7017422353556808
2007-12-05,5.690976390556222,1.6907686151383632,-3.352841136454582
2007-12-06,1.9602071597869917,0.5781312525010003,-2.1550389386523845
2007-12-07,1.0939067934866253,3.186135992858682,0.07691538153723002
2007-12-08,3.4664558130944685,2.7771724074245085,3.239380367531628
2007-12-09,0.4972681380244406,1.42423123095392,4.152545633638071
2007-12-10,1.8502093144950287,0.5950995782928556,-0.25921907224428226
2007-12-11,2.4409763905562225,-0.2515390771693292,-1.7017422353556808
2007-12-12,2.6909763905562225,-0.3092313848616369,-2.352841136454582
2007-12-13,2.9602071597869917,1.5781312525010003,4.8449610613476155
2007-12-14,4.093906793486625,0.18613599285868196,0.07691538153723002
2007-12-15,2.4664558130944685,1.7771724074245083,3.239380367531628
2007-12-16,6.497268138024441,1.42423123095392,4.152545633638071
2007-12-17,11.850209314495029,0.5950995782928556,4.740780927755718
2007-12-18,2.4409763905562225,5.748460922830671,-1.7017422353556808
2007-12-19,7.690976390556222,-0.3092313848616369,-3.352841136454582
2007-12-20,8.960207159786991,1.5781312525010003,-0.1550389386523845
2007-12-21,3.0939067934866253,1.1861359928586819,0.07691538153723002
2007-12-22,0.46645581309446854,2.7771724074245085,3.239380367531628
2007-12-23,0.4972681380244406,2.4242312309539202,4.152545633638071
2007-12-24,-0.14979068550497127,0.5950995782928556,-0.25921907224428226
2007-12-25,-0.5590236094437775,0.7484609228306708,-1.7017422353556808
2007-12-26,-0.30902360944377755,-0.3092313848616369,-3.352841136454582
2007-12-27,-0.03979284021300827,-0.42186874749899966,-2.1550389386523845
2007-12-28,1.0939067934866253,1.1861359928586819,2.07691538153723
2007-12-29,0.46645581309446854,0.7771724074245083,3.239380367531628
2007-12-30,0.4972681380244406,1.42423123095392,4.152545633638071
2007-12-31,-0.14979068550497127,-0.40490042170714435,-0.25921907224428226
2008-01-01,-0.5590236094437775,0.7484609228306708,-1.7017422353556808
2008-01-02,-0.30902360944377755,0.6907686151383631,-3.352841136454582
2008-01-03,-0.03979284021300827,0.5781312525010003,-2.1550389386523845
2008-01-04,1.0939067934866253,1.1861359928586819,2.07691538153723
2008-01-05,0.46645581309446854,3.7771724074245085,4.239380367531628
2008-01-06,0.4972681380244406,0.42423123095392007,4.152545633638071
2008-01-07,0.8502093144950287,0.5950995782928556,1.7407809277557178
2008-01-08,-0.5590236094437775,-0.2515390771693292,9.298257764644319
2008-01-09,-0.30902360944377755,1.6907686151383632,4.6471588635454175
2008-01-10,-0.03979284021300827,1.5781312525010003,6.8449610613476155
2008-01-11,0.09390679348662542,0.18613599285868196,4.07691538153723
2008-01-12,2.4664558130944685,1.7771724074245083,3.239380367531628
2008-01-13,0.4972681380244406,0.42423123095392007,4.152545633638071
2008-01-14,14.850209314495029,-0.40490042170714435,-0.25921907224428226
2008-01-15,-0.5590236094437775,-0.2515390771693292,-1.7017422353556808
2008-01-16,-0.30902360944377755,1.6907686151383632,-2.352841136454582
2008-01-17,1.9602071597869917,2.5781312525010005,-1.1550389386523845
2008-01-18,0.09390679348662542,4.186135992858682,0.07691538153723002
2008-01-19,0.46645581309446854,0.7771724074245083,6.239380367531628
2008-01-20,1.4972681380244406,1.42423123095392,4.152545633638071
2008-01-21,-0.14979068550497127,2.5950995782928556,-0.25921907224428226
2008-01-22,-0.5590236094437775,4.748460922830671,-1.7017422353556808
2008-01-23,0.6909763905562225,-0.3092313848616369,-3.352841136454582
2008-01-24,-0.03979284021300827,-0.42186874749899966,-2.1550389386523845
2008-01-25,0.09390679348662542,0.18613599285868196,0.07691538153723002
2008-01-26,1.4664558130944685,0.7771724074245083,3.239380367531628
2008-01-27,0.4972681380244406,1.42423123095392,4.152545633638071
2008-01-28,1.8502093144950287,-0.40490042170714435,-0.25921907224428226
