,redis/redis,memcached/memcached,basho/riak_kv
2011-09-22,4.053475236248345,-0.2516775941145689,7.736356080893896
2011-09-23,3.274763751654508,0.06204789608150955,5.481454120109582
2011-09-24,0.944231538769354,0.12927478683781202,2.0024625234709266
2011-09-25,1.406847354326346,0.14058700403238217,3.8732339089481944
2011-09-26,0.7227814202604118,-0.16710530365992549,0.046310832025117765
2011-09-27,4.8189352664142575,5.044433157878536,3.664442700156986
2011-09-28,1.778965432326777,7.042440052944254,3.195739834395297
2011-09-29,10.053475236248346,1.748322405885431,5.736356080893896
2011-09-30,7.274763751654508,0.06204789608150955,2.4814541201095826
2011-10-01,1.9442315387693538,0.12927478683781202,1.0024625234709268
2011-10-02,2.406847354326346,0.14058700403238217,0.8732339089481945
2011-10-03,10.722781420260413,-0.16710530365992549,0.046310832025117765
2011-10-04,4.8189352664142575,2.044433157878536,2.664442700156986
2011-10-05,4.7789654323267765,0.042440052944254625,4.1957398343952965
2011-10-06,0.053475236248345416,-0.2516775941145689,6.736356080893896
2011-10-07,2.274763751654508,0.06204789608150955,-0.5185458798904176
2011-10-08,1.9442315387693538,0.12927478683781202,1.0024625234709268
2011-10-09,2.406847354326346,0.14058700403238217,0.8732339089481945
2011-10-10,5.722781420260412,-0.16710530365992549,4.046310832025117
2011-10-11,-1.181064733585742,0.044433157878536036,5.664442700156986
2011-10-12,-1.221034567673223,1.0424400529442546,4.1957398343952965
2011-10-13,2.0534752362483455,-0.2516775941145689,1.736356080893896
2011-10-14,3.274763751654508,0.06204789608150955,5.481454120109582
2011-10-15,0.944231538769354,0.12927478683781202,1.0024625234709268
2011-10-16,1.406847354326346,0.14058700403238217,0.8732339089481945
2011-10-17,5.722781420260412,3.8328946963400745,0.046310832025117765
2011-10-18,4.8189352664142575,0.044433157878536036,0.6644427001569859
2011-10-19,1.778965432326777,0.042440052944254625,-0.8042601656047031
2011-10-20,4.053475236248345,-0.2516775941145689,1.736356080893896
2011-10-21,0.27476375165450795,0.06204789608150955,-0.5185458798904176
2011-10-22,0.944231538769354,0.12927478683781202,1.0024625234709268
2011-10-23,5.406847354326346,0.14058700403238217,0.8732339089481945
2011-10-24,0.7227814202604118,-0.16710530365992549,0.046310832025117765
2011-10-25,3.818935266414258,0.044433157878536036,-0.3355572998430141
2011-10-26,0.778965432326777,0.042440052944254625,-0.8042601656047031
2011-10-27,2.0534752362483455,0.7483224058854311,0.736356080893896
2011-10-28,2.274763751654508,0.06204789608150955,6.481454120109582
2011-10-29,0.944231538769354,0.12927478683781202,3.0024625234709266
2011-10-30,2.406847354326346,0.14058700403238217,0.8732339089481945
2011-10-31,9.722781420260413,-0.16710530365992549,0.046310832025117765
2011-11-01,-0.18106473358574204,0.044433157878536036,2.664442700156986
2011-11-02,5.7789654323267765,0.042440052944254625,7.1957398343952965
2011-11-03,1.0534752362483455,-0.2516775941145689,1.736356080893896
2011-11-04,5.274763751654508,0.06204789608150955,-0.5185458798904176
2011-11-05,0.944231538769354,0.12927478683781202,1.0024625234709268
2011-11-06,1.406847354326346,0.14058700403238217,0.8732339089481945
2011-11-07,4.722781420260412,-0.16710530365992549,0.046310832025117765
2011-11-08,9.818935266414258,0.044433157878536036,-0.3355572998430141
2011-11-09,4.7789654323267765,0.042440052944254625,-0.8042601656047031
2011-11-10,2.0534752362483455,8.748322405885432,-0.26364391910610396
2011-11-11,2.274763751654508,0.06204789608150955,-0.5185458798904176
2011-11-12,3.944231538769354,0.12927478683781202,1.0024625234709268
2011-11-13,1.406847354326346,0.14058700403238217,0.8732339089481945
2011-11-14,4.722781420260412,-0.16710530365992549,1.0463108320251178
2011-11-15,6.8189352664142575,0.044433157878536036,1.664442700156986
2011-11-16,4.7789654323267765,0.042440052944254625,-0.8042601656047031
2011-11-17,0.053475236248345416,-0.2516775941145689,1.736356080893896
2011-11-18,6.274763751654508,0.06204789608150955,0.48145412010958244
2011-11-19,0.944231538769354,0.12927478683781202,1.0024625234709268
2011-11-20,1.406847354326346,0.14058700403238217,0.8732339089481945
2011-11-21,9.722781420260413,-0.16710530365992549,0.046310832025117765
2011-11-22,3.818935266414258,0.044433157878536036,-0.3355572998430141
2011-11-23,0.778965432326777,0.042440052944254625,-0.8042601656047031
2011-11-24,3.0534752362483455,-0.2516775941145689,-0.26364391910610396
2011-11-25,6.274763751654508,0.06204789608150955,-0.5185458798904176
2011-11-26,0.944231538769354,0.12927478683781202,1.0024625234709268
2011-11-27,1.406847354326346,0.14058700403238217,0.8732339089481945
2011-11-28,2.7227814202604117,-0.16710530365992549,3.0463108320251178
2011-11-29,-0.18106473358574204,0.044433157878536036,0.6644427001569859
2011-11-30,0.778965432326777,0.042440052944254625,-0.8042601656047031
2011-12-01,7.053475236248345,-0.2516775941145689,0.736356080893896
2011-12-02,0.27476375165450795,0.06204789608150955,1.4814541201095826
2011-12-03,0.944231538769354,1.129274786837812,1.0024625234709268
2011-12-04,1.406847354326346,0.14058700403238217,0.8732339089481945
2011-12-05,-0.2772185797395882,-0.16710530365992549,0.046310832025117765
2011-12-06,-1.181064733585742,0.044433157878536036,4.664442700156986
2011-12-07,4.7789654323267765,0.042440052944254625,1.195739834395297
2011-12-08,0.053475236248345416,-0.2516775941145689,0.736356080893896
2011-12-09,0.27476375165450795,0.06204789608150955,4.481454120109582
2011-12-10,1.9442315387693538,0.12927478683781202,1.0024625234709268
2011-12-11,1.406847354326346,0.14058700403238217,1.8732339089481944
2011-12-12,-0.2772185797395882,-0.16710530365992549,4.046310832025117
