,AMS_ij
apache/mesos -> kubernetes/kubernetes,-2.6533042283440524
docker-archive/classicswarm -> kubernetes/kubernetes,-20.11763685601871
kubernetes/kubernetes -> apache/mesos,-1.6057855952782358
docker-archive/classicswarm -> apache/mesos,1.291233667244149
kubernetes/kubernetes -> docker-archive/classicswarm,-0.7647008728446861
apache/mesos -> docker-archive/classicswarm,1.6515715137854448
