,spring-projects/spring-boot,apache/struts,playframework/playframework
2012-11-21,-0.6439960599624465,3.4289023301628347,9.709791608951273
2012-11-22,-0.5375534829316342,2.473720257333703,3.617354634161357
2012-11-23,-2.254640317665528,-0.07529935050943458,20.278419059931664
2012-11-24,1.8079000831101668,0.8519792532397575,4.561386092898698
2012-11-25,2.137570412780497,0.2668144180749222,4.105342136854741
2012-11-26,-0.1397943792901776,-0.04168590513128327,2.197186566934466
2012-11-27,-0.3694862560408778,1.095568996829501,1.530519900267799
2012-11-28,-0.6439960599624465,0.4289023301628345,5.709791608951273
2012-11-29,-0.5375534829316342,-0.5262797426662973,7.617354634161357
2012-11-30,-2.254640317665528,1.9247006494905654,3.278419059931665
2012-12-01,1.8079000831101668,0.8519792532397575,5.561386092898698
2012-12-02,2.137570412780497,0.2668144180749222,4.105342136854741
2012-12-03,-0.1397943792901776,-0.04168590513128327,1.197186566934466
2012-12-04,-0.3694862560408778,0.09556899682950101,7.530519900267799
2012-12-05,-0.6439960599624465,2.4289023301628347,-0.2902083910487272
2012-12-06,-0.5375534829316342,-0.5262797426662973,5.617354634161357
2012-12-07,-2.254640317665528,-0.07529935050943458,2.278419059931665
2012-12-08,1.8079000831101668,0.8519792532397575,3.5613860928986982
2012-12-09,2.137570412780497,6.266814418074922,3.1053421368547416
2012-12-10,-0.1397943792901776,-0.04168590513128327,1.197186566934466
2012-12-11,-0.3694862560408778,0.09556899682950101,12.530519900267798
2012-12-12,-0.6439960599624465,3.4289023301628347,6.709791608951273
2012-12-13,-0.5375534829316342,1.4737202573337027,0.6173546341613569
2012-12-14,-2.254640317665528,0.9247006494905654,9.278419059931664
2012-12-15,1.8079000831101668,0.8519792532397575,3.5613860928986982
2012-12-16,2.137570412780497,5.266814418074922,4.105342136854741
2012-12-17,-0.1397943792901776,1.9583140948687168,3.197186566934466
2012-12-18,-0.3694862560408778,6.095568996829501,0.5305199002677989
2012-12-19,-0.6439960599624465,-0.5710976698371655,0.7097916089512728
2012-12-20,-0.5375534829316342,3.473720257333703,1.617354634161357
2012-12-21,-2.254640317665528,-0.07529935050943458,1.2784190599316647
2012-12-22,1.8079000831101668,1.8519792532397577,7.561386092898698
2012-12-23,2.137570412780497,0.2668144180749222,4.105342136854741
2012-12-24,-0.1397943792901776,-0.04168590513128327,-2.802813433065534
2012-12-25,-0.3694862560408778,0.09556899682950101,-2.469480099732201
2012-12-26,-0.6439960599624465,-0.5710976698371655,0.7097916089512728
2012-12-27,-0.5375534829316342,-0.5262797426662973,3.617354634161357
2012-12-28,-2.254640317665528,-0.07529935050943458,3.278419059931665
2012-12-29,1.8079000831101668,1.8519792532397577,3.5613860928986982
2012-12-30,2.137570412780497,0.2668144180749222,3.1053421368547416
2012-12-31,-0.1397943792901776,-0.04168590513128327,-2.802813433065534
2013-01-01,-0.3694862560408778,0.09556899682950101,-2.469480099732201
2013-01-02,-0.6439960599624465,6.428902330162835,6.709791608951273
2013-01-03,-0.5375534829316342,15.473720257333703,11.617354634161357
2013-01-04,-2.254640317665528,-0.07529935050943458,1.2784190599316647
2013-01-05,1.8079000831101668,0.8519792532397575,4.561386092898698
2013-01-06,2.137570412780497,0.2668144180749222,7.105342136854741
2013-01-07,-0.1397943792901776,-0.04168590513128327,9.197186566934466
2013-01-08,-0.3694862560408778,0.09556899682950101,5.530519900267799
2013-01-09,-0.6439960599624465,1.4289023301628345,8.709791608951273
2013-01-10,-0.5375534829316342,1.4737202573337027,2.617354634161357
2013-01-11,-2.254640317665528,-0.07529935050943458,2.278419059931665
2013-01-12,1.8079000831101668,0.8519792532397575,3.5613860928986982
2013-01-13,2.137570412780497,8.266814418074922,6.105342136854741
2013-01-14,-0.1397943792901776,-0.04168590513128327,4.197186566934466
2013-01-15,-0.3694862560408778,3.095568996829501,5.530519900267799
2013-01-16,-0.6439960599624465,2.4289023301628347,3.7097916089512726
2013-01-17,-0.5375534829316342,1.4737202573337027,4.617354634161357
2013-01-18,-2.254640317665528,-0.07529935050943458,3.278419059931665
2013-01-19,1.8079000831101668,0.8519792532397575,4.561386092898698
2013-01-20,2.137570412780497,3.2668144180749223,4.105342136854741
2013-01-21,-0.1397943792901776,6.958314094868717,1.197186566934466
2013-01-22,-0.3694862560408778,6.095568996829501,18.530519900267798
2013-01-23,-0.6439960599624465,-0.5710976698371655,4.709791608951273
2013-01-24,-0.5375534829316342,-0.5262797426662973,2.617354634161357
2013-01-25,-2.254640317665528,-0.07529935050943458,5.2784190599316645
2013-01-26,1.8079000831101668,0.8519792532397575,4.561386092898698
2013-01-27,2.137570412780497,4.266814418074922,9.105342136854741
2013-01-28,-0.1397943792901776,3.9583140948687165,12.197186566934466
2013-01-29,-0.3694862560408778,0.09556899682950101,3.530519900267799
2013-01-30,-0.6439960599624465,-0.5710976698371655,2.7097916089512726
2013-01-31,-0.5375534829316342,-0.5262797426662973,0.6173546341613569
2013-02-01,-2.254640317665528,0.9247006494905654,1.2784190599316647
2013-02-02,1.8079000831101668,0.8519792532397575,4.561386092898698
2013-02-03,2.137570412780497,1.2668144180749221,5.105342136854741
2013-02-04,-0.1397943792901776,3.9583140948687165,3.197186566934466
2013-02-05,-0.3694862560408778,1.095568996829501,-0.46948009973220106
2013-02-06,-0.6439960599624465,-0.5710976698371655,-0.2902083910487272
2013-02-07,-0.5375534829316342,2.473720257333703,2.617354634161357
2013-02-08,-2.254640317665528,-0.07529935050943458,6.2784190599316645
2013-02-09,1.8079000831101668,0.8519792532397575,4.561386092898698
