,jquery/jquery,prototypejs/prototype,yui/yui3
2008-01-10,-0.07967795034369238,-0.12722523662190793,6.392146515066071
2008-01-11,0.2504191370349484,-0.1910255140144183,1.8123961683254328
2008-01-12,2.4113067930682357,0.05169293258752341,5.838748456813644
2008-01-13,0.5804495435216656,0.1143729709957172,7.624822819344318
2008-01-14,14.4884165764887,3.849263080885827,-0.9438584993370015
2008-01-15,-0.5211988081266861,0.2627246193473655,-2.930122235600738
2008-01-16,-0.12971529164316958,0.040197146819893025,-3.794133224611726
2008-01-17,1.9203220496563076,0.872774763378092,-1.607853484933929
2008-01-18,0.2504191370349484,2.8089744859855816,-2.187603831674567
2008-01-19,0.41130679306823553,0.05169293258752341,8.838748456813644
2008-01-20,1.5804495435216657,0.1143729709957172,7.624822819344318
2008-01-21,-0.5115834235113015,-0.15073691911417292,-0.9438584993370015
2008-01-22,-0.5211988081266861,1.2627246193473656,-2.930122235600738
2008-01-23,0.8702847083568304,5.040197146819893,-4.794133224611726
2008-01-24,-0.07967795034369238,2.872774763378092,-2.607853484933929
2008-01-25,0.2504191370349484,7.808974485985582,-2.187603831674567
2008-01-26,1.4113067930682355,0.05169293258752341,5.838748456813644
2008-01-27,0.5804495435216656,0.1143729709957172,7.624822819344318
2008-01-28,1.4884165764886985,-0.15073691911417292,-0.9438584993370015
2008-01-29,-0.5211988081266861,0.2627246193473655,-2.930122235600738
2008-01-30,-0.12971529164316958,0.040197146819893025,-1.794133224611726
2008-01-31,-0.07967795034369238,-0.12722523662190793,-0.607853484933929
2008-02-01,1.2504191370349484,0.8089744859855816,1.8123961683254328
2008-02-02,0.41130679306823553,0.05169293258752341,6.838748456813644
2008-02-03,5.580449543521666,4.114372970995717,7.624822819344318
2008-02-04,-0.5115834235113015,0.849263080885827,-0.9438584993370015
2008-02-05,0.47880119187331394,2.2627246193473654,-1.930122235600738
2008-02-06,2.8702847083568304,0.040197146819893025,-4.794133224611726
2008-02-07,-0.07967795034369238,-0.12722523662190793,-2.607853484933929
2008-02-08,0.2504191370349484,-0.1910255140144183,-2.187603831674567
2008-02-09,0.41130679306823553,0.05169293258752341,5.838748456813644
2008-02-10,0.5804495435216656,0.1143729709957172,7.624822819344318
2008-02-11,-0.5115834235113015,-0.15073691911417292,-0.9438584993370015
2008-02-12,-0.5211988081266861,1.2627246193473656,-2.930122235600738
2008-02-13,-0.12971529164316958,0.040197146819893025,-3.794133224611726
2008-02-14,-0.07967795034369238,-0.12722523662190793,-1.607853484933929
2008-02-15,0.2504191370349484,-0.1910255140144183,2.812396168325433
2008-02-16,0.41130679306823553,0.05169293258752341,12.838748456813644
2008-02-17,1.5804495435216657,0.1143729709957172,7.624822819344318
2008-02-18,-0.5115834235113015,-0.15073691911417292,-0.9438584993370015
2008-02-19,-0.5211988081266861,0.2627246193473655,-0.9301222356007379
2008-02-20,-0.12971529164316958,0.040197146819893025,-2.794133224611726
2008-02-21,-0.07967795034369238,-0.12722523662190793,29.39214651506607
2008-02-22,0.2504191370349484,-0.1910255140144183,1.8123961683254328
2008-02-23,0.41130679306823553,0.05169293258752341,5.838748456813644
2008-02-24,0.5804495435216656,0.1143729709957172,7.624822819344318
2008-02-25,-0.5115834235113015,-0.15073691911417292,-0.9438584993370015
2008-02-26,-0.5211988081266861,1.2627246193473656,-2.930122235600738
2008-02-27,-0.12971529164316958,0.040197146819893025,-4.794133224611726
2008-02-28,-0.07967795034369238,-0.12722523662190793,-2.607853484933929
2008-02-29,0.2504191370349484,0.8089744859855816,-2.187603831674567
2008-03-01,0.41130679306823553,0.05169293258752341,5.838748456813644
2008-03-02,0.5804495435216656,0.1143729709957172,7.624822819344318
2008-03-03,-0.5115834235113015,-0.15073691911417292,-0.9438584993370015
2008-03-04,-0.5211988081266861,0.2627246193473655,-1.930122235600738
2008-03-05,-0.12971529164316958,0.040197146819893025,-4.794133224611726
2008-03-06,-0.07967795034369238,-0.12722523662190793,-2.607853484933929
2008-03-07,0.2504191370349484,-0.1910255140144183,-2.187603831674567
2008-03-08,0.41130679306823553,0.05169293258752341,5.838748456813644
2008-03-09,0.5804495435216656,5.114372970995717,7.624822819344318
2008-03-10,-0.5115834235113015,-0.15073691911417292,-0.9438584993370015
2008-03-11,-0.5211988081266861,0.2627246193473655,-2.930122235600738
2008-03-12,-0.12971529164316958,0.040197146819893025,-2.794133224611726
2008-03-13,-0.07967795034369238,-0.12722523662190793,-2.607853484933929
2008-03-14,0.2504191370349484,-0.1910255140144183,-1.1876038316745672
2008-03-15,2.4113067930682357,1.0516929325875235,5.838748456813644
2008-03-16,0.5804495435216656,4.114372970995717,7.624822819344318
2008-03-17,0.4884165764886985,0.849263080885827,0.0561415006629985
2008-03-18,-0.5211988081266861,0.2627246193473655,-2.930122235600738
2008-03-19,-0.12971529164316958,3.040197146819893,-4.794133224611726
2008-03-20,-0.07967795034369238,-0.12722523662190793,-2.607853484933929
2008-03-21,0.2504191370349484,-0.1910255140144183,-0.18760383167456718
2008-03-22,0.41130679306823553,0.05169293258752341,5.838748456813644
2008-03-23,0.5804495435216656,0.1143729709957172,7.624822819344318
2008-03-24,-0.5115834235113015,-0.15073691911417292,-0.9438584993370015
2008-03-25,-0.5211988081266861,0.2627246193473655,-1.930122235600738
2008-03-26,-0.12971529164316958,0.040197146819893025,-2.794133224611726
2008-03-27,-0.07967795034369238,2.872774763378092,-2.607853484933929
2008-03-28,0.2504191370349484,2.8089744859855816,2.812396168325433
2008-03-29,0.41130679306823553,0.05169293258752341,5.838748456813644
