,microsoft/vscode,jetbrains/intellij-community,atom/atom
2017-11-13,36.042200503029996,74.43535811346871,12.442197126989754
2017-11-14,75.16331594672609,68.20408669671343,8.411871001502337
2017-11-15,44.14949106193346,42.80685167367195,17.99435948076501
2017-11-16,39.525716986546485,79.91429584240643,7.494394929187556
2017-11-17,55.79494775577725,79.9188745969852,18.91838760318023
2017-11-18,38.76106497189446,88.78609071420131,8.570402255194882
2017-11-19,44.56326277409226,84.93444236255297,10.168387603180228
2017-11-20,50.042200503029996,63.43535811346871,15.442197126989754
2017-11-21,37.16331594672609,49.204086696713425,17.411871001502337
2017-11-22,22.14949106193346,87.80685167367196,5.994359480765011
2017-11-23,20.525716986546485,81.91429584240643,1.494394929187556
2017-11-24,34.79494775577725,65.9188745969852,-2.0816123968197706
2017-11-25,40.76106497189446,80.78609071420131,2.570402255194882
2017-11-26,36.56326277409226,72.93444236255297,3.1683876031802294
2017-11-27,52.042200503029996,85.43535811346871,4.442197126989754
2017-11-28,16.163315946726087,79.20408669671343,5.4118710015023375
2017-11-29,26.14949106193346,52.80685167367195,14.994359480765011
2017-11-30,69.52571698654648,74.91429584240643,6.494394929187556
2017-12-01,48.79494775577725,93.9188745969852,2.9183876031802294
2017-12-02,42.76106497189446,93.78609071420131,3.570402255194882
2017-12-03,40.56326277409226,81.93444236255297,3.1683876031802294
2017-12-04,77.04220050303,80.43535811346871,23.442197126989754
2017-12-05,37.16331594672609,43.204086696713425,7.4118710015023375
2017-12-06,49.14949106193346,129.80685167367196,5.994359480765011
2017-12-07,37.525716986546485,56.91429584240644,24.494394929187557
2017-12-08,10.79494775577725,13.9188745969852,8.918387603180228
2017-12-09,45.76106497189446,77.78609071420131,9.570402255194882
2017-12-10,41.56326277409226,71.93444236255297,15.168387603180228
2017-12-11,59.042200503029996,66.43535811346871,3.4421971269897536
2017-12-12,69.16331594672609,58.204086696713425,-0.5881289984976621
2017-12-13,61.14949106193346,72.80685167367196,2.994359480765011
2017-12-14,39.525716986546485,65.91429584240643,1.494394929187556
2017-12-15,57.79494775577725,57.9188745969852,-0.08161239681977062
2017-12-16,41.76106497189446,75.78609071420131,6.570402255194882
2017-12-17,47.56326277409226,84.93444236255297,4.168387603180229
2017-12-18,42.042200503029996,82.43535811346871,0.44219712698975366
2017-12-19,26.163315946726087,124.20408669671343,0.4118710015023379
2017-12-20,29.14949106193346,77.80685167367196,2.994359480765011
2017-12-21,33.525716986546485,50.91429584240644,11.494394929187557
2017-12-22,10.79494775577725,83.9188745969852,7.918387603180229
2017-12-23,36.76106497189446,94.78609071420131,2.570402255194882
2017-12-24,37.56326277409226,177.93444236255297,5.168387603180229
2017-12-25,-11.957799496970003,24.435358113468713,-0.5578028730102463
2017-12-26,-7.836684053273913,28.204086696713425,5.4118710015023375
2017-12-27,-8.85050893806654,17.80685167367195,8.994359480765011
2017-12-28,4.525716986546483,47.91429584240644,1.494394929187556
2017-12-29,-4.205052244222751,45.9188745969852,-2.0816123968197706
2017-12-30,33.76106497189446,80.78609071420131,4.570402255194882
2017-12-31,39.56326277409226,72.93444236255297,6.168387603180229
2018-01-01,-12.957799496970003,-28.564641886531287,1.4421971269897536
2018-01-02,3.1633159467260867,-5.795913303286575,-0.5881289984976621
2018-01-03,4.14949106193346,4.80685167367195,13.994359480765011
2018-01-04,34.525716986546485,-1.085704157593561,14.494394929187557
2018-01-05,45.79494775577725,3.9188745969851997,22.91838760318023
2018-01-06,36.76106497189446,80.78609071420131,10.570402255194882
2018-01-07,37.56326277409226,75.93444236255297,5.168387603180229
2018-01-08,25.042200503029996,-2.5646418865312874,15.442197126989754
2018-01-09,37.16331594672609,77.20408669671343,19.411871001502337
2018-01-10,5.14949106193346,56.80685167367195,13.994359480765011
2018-01-11,29.525716986546485,79.91429584240643,5.494394929187556
2018-01-12,52.79494775577725,149.9188745969852,6.918387603180229
2018-01-13,45.76106497189446,84.78609071420131,6.570402255194882
2018-01-14,40.56326277409226,77.93444236255297,6.168387603180229
2018-01-15,20.042200503029996,135.4353581134687,1.4421971269897536
2018-01-16,57.16331594672609,72.20408669671343,4.4118710015023375
2018-01-17,65.14949106193346,67.80685167367196,5.994359480765011
2018-01-18,21.525716986546485,64.91429584240643,22.494394929187557
2018-01-19,49.79494775577725,75.9188745969852,24.91838760318023
2018-01-20,57.76106497189446,82.78609071420131,9.570402255194882
2018-01-21,44.56326277409226,82.93444236255297,4.168387603180229
2018-01-22,42.042200503029996,95.43535811346871,2.4421971269897536
2018-01-23,94.16331594672609,66.20408669671343,12.411871001502337
2018-01-24,60.14949106193346,64.80685167367196,0.9943594807650109
2018-01-25,33.525716986546485,111.91429584240643,3.494394929187556
2018-01-26,65.79494775577724,152.9188745969852,16.91838760318023
2018-01-27,42.76106497189446,89.78609071420131,3.570402255194882
2018-01-28,43.56326277409226,77.93444236255297,3.1683876031802294
2018-01-29,56.042200503029996,109.43535811346871,0.44219712698975366
2018-01-30,21.163315946726087,114.20408669671343,-0.5881289984976621
2018-01-31,44.14949106193346,60.80685167367195,0.9943594807650109
2018-02-01,55.525716986546485,98.91429584240643,0.494394929187556
2018-02-02,34.79494775577725,96.9188745969852,-2.0816123968197706
2018-02-03,37.76106497189446,84.78609071420131,3.570402255194882
2018-02-04,38.56326277409226,83.93444236255297,3.1683876031802294
2018-02-05,18.042200503029996,132.4353581134687,5.442197126989754
2018-02-06,11.163315946726087,40.204086696713425,2.411871001502338
2018-02-07,22.14949106193346,66.80685167367196,2.994359480765011
