period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
original,T1,1_0,366,5,7.146590038262225,7.520569330563762,7.295431336963932,10,14.20176105828977,0.8201205600965129
original,T2,1_0,731,9,7.988718967581399,8.308110040693176,8.112053300381794,10,4.6673108301946735,0.3231670228151089
original,T3,1_0,1096,9,8.168923099070488,8.3995263283785,8.25623640837841,10,11.134367641395402,0.025094697194850746
original,T4,1_0,1461,7,7.939297810380328,8.092558784733153,7.996497844412345,10,31.18493554809135,0.0018460317498275195
original,T5,1_0,1678,7,7.757770418694657,7.894564102474636,7.8084679727811865,10,40.458858596636446,6.032497938698288e-05
1_month_shifted,T1,1_0,365,5,7.175094320850636,7.549864970143315,7.324266277823664,10,16.753417597298018,0.6689223328731724
1_month_shifted,T2,1_0,730,15,8.090336119536037,8.56355137570297,8.273082212247497,30,69.68253386938824,0.18392680312198922
1_month_shifted,T3,1_0,1095,7,8.198494019052676,8.392344098168387,8.27189480409842,10,21.295793206634617,0.04621321847463683
1_month_shifted,T4,1_0,1461,7,7.924700789380844,8.07796176373367,7.981900823412861,10,31.974161157276946,0.0013965458844848809
1_month_shifted,T5,1_0,1679,7,7.74349418544561,7.880220834542971,7.794165363856906,10,40.00904785885208,7.166060820275402e-05
2_month_shifted,T1,1_0,365,5,7.231486544636142,7.606257193928821,7.38065850160917,10,15.464164703089253,0.7492607937938242
2_month_shifted,T2,1_0,730,15,8.20930200308422,8.682517259251151,8.392048095795678,30,73.8269688584795,0.10816684702092831
2_month_shifted,T3,1_0,1095,7,8.25307200428831,8.44692208340402,8.326472789334053,10,20.327537993000433,0.0611382273735747
2_month_shifted,T4,1_0,1461,7,7.91439719660785,8.067658170960677,7.971597230639867,10,32.969616312025465,0.000978641859728734
2_month_shifted,T5,1_0,1679,7,7.733825577204445,7.870552226301806,7.7844967556157405,10,40.90114625228459,5.0901946896869303e-05
3_month_shifted,T1,1_0,365,5,7.246622538032003,7.621393187324682,7.395794495005031,10,17.92731743808825,0.5921962957234411
3_month_shifted,T2,1_0,730,15,8.244520204800017,8.717735460966948,8.427266297511474,30,67.98557990176778,0.22386670404201128
3_month_shifted,T3,1_0,1095,7,8.264198218000029,8.45804829711574,8.337599003045773,10,21.382990471871018,0.045045683295487846
3_month_shifted,T4,1_0,1461,7,7.943431944428951,8.096692918781777,8.00063197846097,10,33.11320089621992,0.0009294115811511642
3_month_shifted,T5,1_0,1679,7,7.713021666880737,7.849748315978098,7.763692845292033,10,43.21633985470825,2.075221989400072e-05
original,T1,2_0,365,3,7.092498925594826,7.379088245642168,7.206571598574199,10,23.186315235548438,0.723660366985608
original,T2,2_0,730,14,6.196313157017728,6.64394921014861,6.369181082555595,28,59.09468543233994,0.3631828104537005
original,T3,2_0,1095,14,5.596054571304622,5.919138036497472,5.7183892130475265,28,73.87336478895377,0.05500097200165808
original,T4,2_0,1461,14,5.05316649413673,5.308601451391439,5.148499884190092,28,95.13986688190508,0.000857155961635474
original,T5,2_0,1614,14,4.852538056098153,5.087934778986443,4.9399513924537946,28,105.09609091275667,7.842769684498556e-05
1_month_shifted,T1,2_0,365,12,6.995083540186221,7.678488841837577,7.267102991137036,24,32.78015421570008,0.9541675178535254
1_month_shifted,T2,2_0,730,12,6.020375552821287,6.416853199880069,6.17348714401197,24,35.733151801957256,0.9046256913822806
1_month_shifted,T3,2_0,1095,12,5.442390097476539,5.728549738075921,5.550743637305969,24,40.62978855870117,0.7659474653821889
1_month_shifted,T4,2_0,1461,12,4.906711571555147,5.132953962266461,4.991149717030982,24,53.48134012960967,0.2719445882539378
1_month_shifted,T5,2_0,1613,7,4.6972465807344825,4.838556556520278,4.749722945774624,10,17.713485802809732,0.1246710575814771
2_month_shifted,T1,2_0,365,15,7.102665005921677,7.9183423014410375,7.427333382862972,30,36.96269885356104,0.9916270154950424
2_month_shifted,T2,2_0,730,12,6.063596830793674,6.460074477852455,6.2167084219843565,24,28.418555396822224,0.9890196545435035
2_month_shifted,T3,2_0,1095,12,5.436109551518776,5.722269192118158,5.544463091348206,24,36.49025722547039,0.8877873143315428
2_month_shifted,T4,2_0,1461,12,4.888407237871719,5.114649628583033,4.972845383347554,24,49.09649114526953,0.4289494356263271
2_month_shifted,T5,2_0,1615,12,4.694793949929984,4.903182107623815,4.772175368848031,24,55.486417358947776,0.2133396889230764
3_month_shifted,T1,2_0,365,15,6.669890988842435,7.485568284361795,6.99455936578373,30,42.79801029855922,0.9544292589856078
3_month_shifted,T2,2_0,730,14,5.703489072208458,6.15112512533934,5.876356997746325,28,47.13879292646907,0.7945007560776954
3_month_shifted,T3,2_0,1096,4,5.022185809591736,5.160547747176543,5.074573795176489,10,24.45534232338988,0.4358212810789154
3_month_shifted,T4,2_0,1461,8,4.500619789325418,4.668477046949941,4.563267445646199,10,13.619870167365987,0.09222740429315951
3_month_shifted,T5,2_0,1616,8,4.310587996800814,4.4651199460811695,4.367969023478113,10,15.09806046030851,0.057266548576708605
