label,group,target,c2 -> c1,t -> c1,c1 -> c2,t -> c2,c1 -> t,c2 -> t
1,chainer_0,chainer/chainer,-3.107470902062251,-4.385967704115551,0.1023416087829237,-1.7775440304345373,-0.5859050914447559,4.557915599564659
1,Theano_0,Theano/Theano,-5.160284816940971,-5.4916012920355515,-1.8041803880443776,0.1941392347069849,0.3285382645305526,3.1968330933257962
1,classicswarm_0,docker-archive/classicswarm,8.145503907156208,-22.10699531551162,-2.1676617734422385,3.336761990047092,-1.565774298203419,5.091199273152924
1,CodeIgniter_0,bcit-ci/CodeIgniter,-1.480138368780971,-0.299410992038297,-3.3195330372095153,-3.1650878822955635,0.5033806101466707,1.047344151320246
1,CodeIgniter_1,bcit-ci/CodeIgniter,-0.4113532611213019,-4.359034542011891,-0.4619422668042021,-0.05089948531193711,0.16593988148016572,-0.210525693564721
1,atom_0,atom/atom,-1.4776691598040126,-1.0662332928801566,-6.81344748055533,-4.3830357527729396,2.972152041203314,0.3735588141649225
1,atom_1,atom/atom,-0.40741608235629084,2.127278960112398,-4.123464242070093,-5.452099333925281,1.7996375354253242,0.16163943204861533
1,gulp_0,gulpjs/gulp,-0.13285354026701496,-1.2999960260569015,-0.7118520865021077,-2.8649056294273345,0.8990255921456667,0.002040593378135249
1,coffeescript_0,jashkenas/coffeescript,-1.787284180559465,-4.660266916579004,1.7725611782989392,-14.194608163439003,0.41679074830733776,-0.07460325591096434
1,Carthage_0,Carthage/Carthage,-1.3097481034725857,-0.6829702184003168,-0.7259235174071033,-1.2445157132270768,2.158755273146524,0.8052829143817496
1,yui3_0,yui/yui3,-0.21595454373098616,1.172688618836179,0.3301792322972622,1.1952809440927545,42.358235560410485,57.66038915981342
1,yui3_1,yui/yui3,7.091213492521019,1.4443838030060299,-0.14690445891968734,-0.030604405128373036,14.18492500401328,-11.524061224563319
1,geeklog_0,Geeklog-Core/geeklog,3.4184495414242404,-0.24957278857255163,10.753993186426793,-1.6275008507631705,2.539237043911708,-1.828535620013042
1,geeklog_1,Geeklog-Core/geeklog,-7.758756742344051,-34.257452803132814,-8.110267498853236,1.153592529114328,0.017141190167889456,0.8424938602039262
1,geeklog_2,Geeklog-Core/geeklog,-1.3302834069679916,7.125543213962061,-2.937065456351755,7.384253969203738,0.7418220595512133,-0.04137032217318271
1,angular.js_0,angular/angular.js,0.46518957748798323,1.6519464422113477,-0.1782150648646762,0.6983552463991494,0.018488448160900384,1.3859660420520894
1,angular.js_1,angular/angular.js,1.7748902795402892,-0.23661878878581366,-1.5931797945180417,-1.8718377050012116,3.4522575717145463,-0.09492817390817715
1,requirejs_0,requirejs/requirejs,-0.7531343564596383,-0.8681616019183354,1.2301869841374495,-5.171983666062901,-0.12774363567319208,0.02277286948072254
1,phantomjs_0,ariya/phantomjs,-0.46001609758865086,6.32949402142238,-2.2145446692003055,5.689183262776547,0.07991957629368565,-0.04759190209426298
1,mxnet_0,apache/mxnet,-27.95215423132634,29.551757224534224,-4.038741509328569,11.911432187754647,2.472829864675969,3.9842448606071024
1,mxnet_1,apache/mxnet,8.743629466186453,-53.71709353452354,0.5270390476385988,14.771544041641173,-0.4326906033549131,1.01973567738663
1,lenya_0,apache/lenya,-2.5950330177687597,2.421574649459148,-0.6067360368234714,1.5463749714680972,0.3936411678647081,6.4861659012963395
1,lenya_1,apache/lenya,0.9796124155157729,-0.4857424241738496,-0.9574668348902229,0.374255801580444,0.7269993650329608,0.9004808813207692
1,node-orm2_0,dresende/node-orm2,-0.4908741264219499,-1.8185627322646214,0.668218950479206,3.0484135285579264,0.10577060752240156,-0.16698816285839524
1,buck_0,facebook/buck,-2.0766520660252126,0.07377265152332511,0.03189819460351115,1.216998559759733,-3.2875373851069547,5.454607220211572
1,buck_1,facebook/buck,3.144026727953661,-0.4458355066854173,0.21776566879919812,0.5819682586719345,-1.9707611675474246,3.7111472840535233
1,hudson-2.x_0,hudson/hudson-2.x,-0.6197366556957327,-8.597223713422736,-0.20822390959124537,-1.689744472571129,-9.739869950659974,-0.9921509897816518
1,hudson-2.x_1,hudson/hudson-2.x,-4.553422154366594,-5.102996166061846,-0.5044852087548741,-1.5669187452099123,-8.139632279028707,-4.808793275666249
1,riak_kv_0,basho/riak_kv,9.082481056748534,-1.8348476166299919,-0.08007731376479135,-0.08095056566268208,1.761976930134265,0.46970126814964097
1,riak_kv_1,basho/riak_kv,7.402424366814881,-0.1544403144628786,-0.11275170930063975,-0.046172252621157206,1.8294228585044041,0.22901143193904533
0,backbone_0,jashkenas/backbone,1.7054344334858524,0.5947479092536289,-0.32462578826102256,-1.1513430677342442,-1.5749532500265033,-1.0976615664340694
0,rails_0,rails/rails,0.010688933654156671,-0.6216411643303367,2.356914092380014,0.9716281219379884,0.42995945187612616,-0.631338516158574
0,rails_1,rails/rails,-1.1273697099768725,-0.2093247950019913,-3.2068620124859066,-3.4256988787081286,2.14541015533842,-4.3179842540213
0,rails_2,rails/rails,-0.4600338490042245,0.3215747852090076,-2.971723283569168,0.5606674421889817,-2.0644374035946864,-2.4313037622715137
0,mysql-server_0,mysql/mysql-server,3.932638390511708,1.7044179022924084,0.1805337378041616,-0.9948487406151891,0.49857339929603983,-8.097385219303046
0,mysql-server_1,mysql/mysql-server,2.472140942781912,0.4888230176254086,0.08482382779444624,0.3583810848738833,-6.161468087817839,-12.827561800128564
0,mysql-server_2,mysql/mysql-server,1.4306915301716598,0.47401462470981437,0.3661552670819405,0.23344650905737882,-13.042368524096542,9.415774916585955
0,mysql-server_3,mysql/mysql-server,-2.0899464491615296,0.5466285168152833,-1.6322927965423184,0.17439590445662573,-1.5125178235021006,23.376222166166098
0,mysql-server_4,mysql/mysql-server,-0.3737532890203882,-0.0026143758045569787,-0.7304667922624076,0.3818021462419974,0.45778524260674086,3.3884168583090775
0,mysql-server_5,mysql/mysql-server,3.682544286802464,0.2973956712733656,-3.3522639233152463,0.5548595236677529,-0.5816689425370953,18.29751672667102
0,ruby_0,ruby/ruby,-6.5399730326814325,1.5707473937573961,-0.15862379427034562,-1.5563973680985819,-0.2682871985182279,-1.70129143692775
0,ruby_1,ruby/ruby,-1.9995037109377283,2.629126344093173,0.38955504042830996,0.5561470729772704,0.12500466272335423,1.7063024177282098
0,ruby_2,ruby/ruby,-0.7690200239915637,-1.4862329393023284,2.7964312519459122,1.2396454287865155,-2.2759928567112064,-4.574782986242851
0,ruby_3,ruby/ruby,1.0284543120779104,-1.1726558371821687,-0.27687137254834876,0.6822469120673812,0.27679885480907185,4.01322545849419
0,nginx_0,nginx/nginx,0.5053049225583276,-0.745928123364906,0.6146880496566705,10.533991623100768,-1.0038193008276073,0.26789973413695434
0,nginx_1,nginx/nginx,0.7221599117202522,-0.3483293664326198,-1.078011082369818,-3.5126811561808555,-3.342969176546844,-1.203089989962938
0,nginx_2,nginx/nginx,0.17760870252649763,-0.22460413771044696,2.3932721081592914,-3.976360501275674,-2.997852753820003,-0.8268248070939151
0,spring-boot_0,spring-projects/spring-boot,0.4779482530650372,0.08098450687379277,-2.2881947104779226,1.6798881260761633,1.4989333678598826,-3.288654993525154
0,spring-boot_1,spring-projects/spring-boot,1.1672847997799698,-0.04012353225149916,-0.18239037465436697,-0.006469372763814971,1.7732661122233575,11.79039240361138
0,spring-boot_2,spring-projects/spring-boot,-2.7548097015531923,0.08902217516672221,-3.7617374825704544,0.034256405682042954,0.7034478430338967,0.2763382798070002
0,jquery_0,jquery/jquery,2.1322128640931424,3.449995713836109,0.2318018805077943,3.9127747797056593,-0.01026432088689877,-0.08442742486416796
0,titanium-sdk_0,tidev/titanium-sdk,-6.918819674453582,-1.1808781225857048,-0.23603060785561758,-1.8453885012381273,0.36221770037597095,-6.1827163946886285
0,titanium-sdk_1,tidev/titanium-sdk,-1.69400587154101,3.4899707548957957,0.9054886644446546,2.7529696514705746,0.31730844899840005,0.3642426154609481
0,jekyll_0,jekyll/jekyll,-2.721482687602552,7.716910755485328,-1.1688122955857032,-0.04449937383584171,4.270389630631983,0.15185294554761128
0,jekyll_1,jekyll/jekyll,3.3839055906579865,-11.307019843449915,-0.39178979955947146,-0.988192737779011,-0.7539235794111034,-0.5748345414542824
0,mongo_0,mongodb/mongo,0.7379149849780637,-0.13216948722813937,0.5573218152938186,-0.9895035724992249,-4.537650836351011,0.1314433017316049
0,mongo_1,mongodb/mongo,-3.519643285929585,-1.9124540363805693,-3.0305017315695864,-2.090863258311904,-0.2964394563821688,-1.6502905902743836
0,mongo_2,mongodb/mongo,-2.91765593482839,0.13639135988032441,-0.2889807649983176,1.2641817232030856,-1.193533332067193,-4.99459287977014
0,mongo_3,mongodb/mongo,-2.8193102189784316,-1.1368068770644648,3.051588782836116,1.9183574755192865,-18.904825298280716,-8.54147045414414
