period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
original,T1,1_0,181,15,14.506207940504337,17.43072658498398,15.693289617703194,30,108.70567413010664,0.9531808873823714
original,T2,1_0,365,15,14.553919189745287,16.273455110029342,15.238355227621529,30,77.85957093596495,0.9999793534179913
original,T3,1_0,546,15,14.884834029265566,16.14069631799201,15.376357747781315,30,78.47770562750712,0.9999738984514805
original,T4,1_0,730,15,14.505604729544809,15.503193647950775,14.890853249314913,30,89.30751786073417,0.9991386690634271
original,T5,1_0,911,15,14.078427942093894,14.913783638995778,14.397608011277164,30,101.6797040497404,0.9854547141002319
original,T6,1_0,1095,15,13.844999432330544,14.565014011903182,14.117630919643302,30,107.82783796973735,0.9589351358978622
1_month_shifted,T1,1_0,182,11,14.159762015895213,16.40023661164378,15.069121338652943,22,79.90149562459493,0.9203911928467603
1_month_shifted,T2,1_0,365,11,14.448894564978554,15.771614503658597,14.975383824883357,22,57.6581148237627,0.9997093157498126
1_month_shifted,T3,1_0,547,15,14.888429352163985,16.14248270618146,15.379204977633377,30,81.1980135074952,0.9999301838312274
1_month_shifted,T4,1_0,730,15,14.502586047560653,15.50017496596662,14.887834567330758,30,88.06938629637459,0.9993906358220059
1_month_shifted,T5,1_0,912,15,14.114797332431309,14.949415743224144,14.433678639814781,30,99.93335913688354,0.989601244935529
1_month_shifted,T6,1_0,1095,15,13.835217368922768,14.555231948495406,14.107848856235526,30,107.80418125838833,0.959082304706715
2_month_shifted,T1,1_0,181,15,14.371103092114152,17.295621736593795,15.558184769313009,30,128.2557668551326,0.6468108064670245
2_month_shifted,T2,1_0,365,15,15.351207656906144,17.0707435771902,16.035643694782387,30,70.02064049560803,0.9999992829206263
2_month_shifted,T3,1_0,546,15,14.957292645163228,16.213154933889673,15.448816363678977,30,73.22784511555383,0.9999968945828972
2_month_shifted,T4,1_0,730,15,14.55158904302266,15.549177961428628,14.936837562792766,30,79.72278740923754,0.9999586596965064
2_month_shifted,T5,1_0,911,15,14.1450224527432,14.980378149645084,14.46420252192647,30,87.16268234579415,0.9995308967112683
2_month_shifted,T6,1_0,1095,15,13.833561736034794,14.553576315607431,14.106193223347551,30,101.10749564315579,0.9869419997205463
3_month_shifted,T1,1_0,182,2,12.247810889874176,12.97596513349246,12.543352669770437,10,73.64540567088922,0.4240380245951862
3_month_shifted,T2,1_0,365,15,14.090430625599021,15.809966545883077,14.774866663475263,30,129.76469545337775,0.6110688484191948
3_month_shifted,T3,1_0,547,15,14.074116494112172,15.328169848129647,14.564892119581563,30,124.19232196243756,0.7373806963658411
3_month_shifted,T4,1_0,730,8,13.654302230123706,14.249018700711877,13.883969616909729,10,13.849782194574441,0.7388299259789547
3_month_shifted,T5,1_0,912,8,13.343853356967319,13.841414332632278,13.533955674830544,10,13.989130493226536,0.7297995613669606
3_month_shifted,T6,1_0,1095,8,13.157376397732866,13.586615858631939,13.31990670747701,10,17.524097708333038,0.4873919556872517
original,T1,2_0,184,13,9.784276868238186,12.340052150246375,10.821458599747201,26,119.80615970887027,0.41079094646370956
original,T2,2_0,365,7,8.733496357104286,9.659400314180315,9.102038839037647,10,21.029563122477647,0.7849016100462973
original,T3,2_0,549,10,9.442666144276469,10.33241134675696,9.790812451877418,20,83.06692963641724,0.6846057726457372
original,T4,2_0,730,7,9.086525297965538,9.623688561722597,9.29396680861098,10,23.093186027306793,0.6799960890559664
original,T5,2_0,914,7,8.882984564573686,9.331602779140557,9.054369096670696,10,27.677256597027473,0.42775419949444177
original,T6,2_0,1096,7,8.680469870359468,9.067883295596927,8.827156229996776,10,29.046637237213435,0.3586412875103374
original,T7,2_0,1280,8,8.554481855597555,8.93257114279758,8.696534200901889,10,21.537466284910213,0.2531687643779423
original,T8,2_0,1461,15,8.782749359633549,9.352004407229758,8.995206628895328,30,136.68087646767404,0.4433749505443915
original,T9,2_0,1645,14,8.678865798397773,9.165529165384717,8.859411495459614,28,118.8662960075843,0.6612731239080504
original,T10,2_0,1826,14,8.714925954893596,9.16149705666547,8.879721952578894,28,126.0455926249332,0.4821005088768619
original,T11,2_0,2010,14,8.565034111184923,8.977547745977215,8.716519653791892,28,128.21116473443146,0.42840564501497524
original,T12,2_0,2191,14,8.448117703640055,8.832185171642099,8.58853811275675,28,135.43605198795075,0.2669875469243132
1_month_shifted,T1,2_0,181,6,9.16996080534187,10.57597938441862,9.74067315014901,10,37.09179325579081,0.4184481526726638
1_month_shifted,T2,2_0,365,7,8.539245699538053,9.465149656614082,8.907788181471414,10,21.570736207191107,0.7588577157029718
1_month_shifted,T3,2_0,546,7,9.20233977031125,9.87857331039472,9.467006387973576,10,19.557552644486723,0.8488011414141559
1_month_shifted,T4,2_0,730,7,8.799783793728086,9.336947057485144,9.007225304373527,10,21.24645559787618,0.7746112697747431
1_month_shifted,T5,2_0,912,7,8.681812849380853,9.131222762884686,8.853518168741184,10,21.720334883025448,0.7514494500748333
1_month_shifted,T6,2_0,1096,7,8.431275856429325,8.818689281666783,8.577962216066632,10,22.628196299746435,0.704816021469763
1_month_shifted,T7,2_0,1277,8,8.325930696261425,8.704743796902003,8.468271724779736,10,16.289509570583135,0.5723502612932776
1_month_shifted,T8,2_0,1461,8,8.577792099121211,8.917155685188183,8.704449317334964,10,17.894561376947056,0.4626187346177598
1_month_shifted,T9,2_0,1642,14,8.48911359708741,8.976507872908677,8.669947187285025,28,128.16167509431483,0.42961514472591944
1_month_shifted,T10,2_0,1826,8,8.522703105504092,8.805227680094461,8.62696179791724,10,18.79186641084214,0.404744173183133
1_month_shifted,T11,2_0,2007,8,8.36775048441357,8.629051278965498,8.463714115901146,10,20.229986707490873,0.32002152925123134
1_month_shifted,T12,2_0,2191,8,8.277299709969606,8.520281169317837,8.366137111655677,10,23.052600401831803,0.18857689389671511
2_month_shifted,T1,2_0,182,14,9.62547773194103,12.370059111733024,10.739442902319249,28,116.80709421883503,0.7093685603363026
2_month_shifted,T2,2_0,365,14,9.096551051252431,10.716882976135484,9.741500394635814,28,97.99689536840717,0.9693942071768308
2_month_shifted,T3,2_0,547,7,9.246769863427668,9.92202936174477,9.51103366175734,10,21.116342102967245,0.7808089369823737
2_month_shifted,T4,2_0,730,7,9.029673113079038,9.566836376836097,9.23711462372448,10,20.602228927163498,0.8045574445018866
2_month_shifted,T5,2_0,913,7,8.688945815253287,9.13795949647532,8.860490581936485,10,21.72124790114933,0.7514039746952248
2_month_shifted,T6,2_0,1096,7,8.40854821002487,8.795961635262328,8.555234569662177,10,23.413786078237873,0.6625958568579418
2_month_shifted,T7,2_0,1278,8,8.508331027582148,8.8869025211519,8.650575690712706,10,16.608674429764967,0.5501462765798617
2_month_shifted,T8,2_0,1461,8,8.597195149948126,8.936558736015098,8.723852368161879,10,16.590714626054112,0.5513928958483489
2_month_shifted,T9,2_0,1643,8,8.5216116580497,8.829808833621144,8.635955802332074,10,19.202886477570175,0.3794310958885893
2_month_shifted,T10,2_0,1826,8,8.511364070951004,8.793888645541372,8.61562276336415,10,18.66713436482241,0.41258447612646604
2_month_shifted,T11,2_0,2008,8,8.359579321226835,8.620772425983377,8.455500967710424,10,20.446144108577357,0.30826997750499935
2_month_shifted,T12,2_0,2191,8,8.27928970778445,8.522271167132681,8.368127109470521,10,23.797105500877382,0.1617879533168102
3_month_shifted,T1,2_0,181,10,9.622029643246716,11.702937140280309,10.466683913561287,20,89.073488699402,0.507793687828088
3_month_shifted,T2,2_0,365,14,9.075385898233602,10.695717823116654,9.720335241616985,28,100.35150258745769,0.9552237050389184
3_month_shifted,T3,2_0,546,7,9.180289847781697,9.856523387865169,9.444956465444024,10,22.863187072024143,0.6923403026837478
3_month_shifted,T4,2_0,730,7,8.954428482410526,9.491591746167584,9.161869993055967,10,22.673329909005563,0.7024312579148938
3_month_shifted,T5,2_0,912,7,8.680821854843257,9.130231768347091,8.852527174203589,10,22.203109363320213,0.7269859255419437
3_month_shifted,T6,2_0,1096,7,8.388676003624903,8.776089428862361,8.53536236326221,10,24.50380639232911,0.602247708645148
3_month_shifted,T7,2_0,1277,7,8.453966365145607,8.796120133466129,8.58253245542021,10,27.121540573312718,0.457252089640586
3_month_shifted,T8,2_0,1461,15,8.612533091269661,9.18178813886587,8.82499036053144,30,134.14389040140276,0.504629165153983
3_month_shifted,T9,2_0,1642,8,8.52481304241737,8.833164523038985,8.639217966828104,10,19.455022754806354,0.3643210245730875
3_month_shifted,T10,2_0,1826,8,8.470665969412613,8.753190544002981,8.57492466182576,10,20.5456505675853,0.3029517431720927
3_month_shifted,T11,2_0,2007,8,8.323934993933765,8.585235788485694,8.419898625421341,10,21.49158674032285,0.2553407795264419
3_month_shifted,T12,2_0,2191,7,8.244958954725233,8.464426079297828,8.3251991885062,10,35.230979666044334,0.13311088977985427
original,T1,2_1,184,11,2.39245068486095,4.614863973563724,3.2943478426948767,22,83.59424738454936,0.8663652347930355
original,T2,2_1,366,10,2.708661376777823,3.92959377223284,3.194584440186336,20,73.59140686463994,0.895424586275322
original,T3,2_1,525,10,2.198105187564136,3.1197122278675464,2.5594358977562317,20,86.00892427112008,0.5995140152591799
1_month_shifted,T1,2_1,182,14,2.7143115959786366,5.458892975770631,3.828276766356856,28,111.39581004402444,0.8200890702903277
1_month_shifted,T2,2_1,366,10,2.515349045517842,3.736281440972859,3.001272108926355,20,76.51217606531567,0.8437725458418941
1_month_shifted,T3,2_1,525,10,1.9804804712300592,2.9020875115334697,2.341811181422155,20,91.54973338174733,0.4346688366329184
2_month_shifted,T1,2_1,183,13,3.240853387674898,5.806966656470431,4.282307112479673,26,109.9966768964316,0.6640233801133603
2_month_shifted,T2,2_1,366,10,2.623427139100043,3.8443595345550596,3.1093502025085558,20,71.57659581904946,0.923549016625198
2_month_shifted,T3,2_1,523,10,1.9265165814486567,2.850893433183325,2.288994339589442,20,90.95494885502137,0.45200373441105196
3_month_shifted,T1,2_1,182,11,2.929314948667731,5.169789544416298,3.838674271425461,22,95.49552192625701,0.5810231305780882
3_month_shifted,T2,2_1,366,10,2.476820009494894,3.6977524049499104,2.9627430729034065,20,81.69355899957041,0.7221229047643133
3_month_shifted,T3,2_1,523,7,1.9428749090551158,2.6424033373948648,2.2171824017021966,10,25.6070770606912,0.5404801139023874
original,T1,3_0,183,6,3.7228552287217256,5.117482005241038,4.288862687854756,10,46.316353359081226,0.11646565206985861
original,T2,3_0,365,2,3.4039674166379066,3.8338513967089205,3.575076426106967,10,80.67582872028335,0.2263604494977661
original,T3,3_0,394,15,3.928180941906323,5.548908245317559,4.571357225063478,30,113.10544046262493,0.914816055256717
1_month_shifted,T1,3_0,184,13,3.5353271167283653,6.091102398736556,4.572508848237381,26,90.61312021128165,0.9664090854766543
1_month_shifted,T2,3_0,365,13,3.7838057127176508,5.3049336421997,4.389268361608173,26,65.23066908863886,0.9999717849764984
1_month_shifted,T3,3_0,395,13,3.7762831418618865,5.207187438902464,4.344071767898163,26,57.83451826777894,0.9999991157585018
2_month_shifted,T1,3_0,183,1,0.23356243235902807,0.7914131429667528,0.45996541601224017,10,71.21970632977406,0.7730002518451402
2_month_shifted,T2,3_0,365,13,3.094608588348589,4.615736517830638,3.7000712372391114,26,83.30893854433947,0.9921054850842611
