,n_commits,n_stars,code_size,contributors,repo_state,repo_state_val,deprecated,archived_date
chainer/chainer,10731,16544,426577792,260,abandonment,638.0,0,
tensorflow/tensorflow,10731,16544,426577792,260,alive,,0,
pytorch/pytorch,10731,16544,426577792,260,alive,,0,
Theano/Theano,10731,16544,426577792,260,dormant,0.1,0,
docker-archive/classicswarm,10731,16544,426577792,260,archived,,0,2021-02-02
kubernetes/kubernetes,10731,16544,426577792,260,alive,,0,
apache/mesos,10731,16544,426577792,260,alive,,0,
bcit-ci/CodeIgniter,10731,16544,426577792,260,dormant,1.0,0,
symfony/symfony,10731,16544,426577792,260,alive,,0,
laravel/framework,10731,16544,426577792,260,alive,,0,
zendframework/zendframework,10731,16544,426577792,260,archived,,0,2020-01-09
cakephp/cakephp,10731,16544,426577792,260,alive,,0,
atom/atom,10731,16544,426577792,260,archived,,0,2023-03-04
microsoft/vscode,10731,16544,426577792,260,alive,,0,
jetbrains/intellij-community,10731,16544,426577792,260,alive,,0,
fuel/fuel,10731,16544,426577792,260,abandonment,1856.0,0,
rethinkdb/rethinkdb,10731,16544,426577792,260,dormant,1.4,0,
apache/couchdb,10731,16544,426577792,260,alive,,0,
mongodb/mongo,10731,16544,426577792,260,alive,,0,
gulpjs/gulp,10731,16544,426577792,260,dormant,0.6,0,
webpack/webpack,10731,16544,426577792,260,alive,,0,
jakejs/jake,10731,16544,426577792,260,dormant,0.3,0,
Semantic-Org/Semantic-UI,10731,16544,426577792,260,abandonment,546.0,0,
twbs/bootstrap,10731,16544,426577792,260,alive,,0,
foundation/foundation-sites,10731,16544,426577792,260,alive,,0,
jashkenas/coffeescript,10731,16544,426577792,260,dormant,0.5,0,
microsoft/TypeScript,10731,16544,426577792,260,alive,,0,
dart-lang/sdk,10731,16544,426577792,260,alive,,0,
angular/angular.js,10731,16544,426577792,260,archived,,0,2024-04-13
facebook/react,10731,16544,426577792,260,alive,,0,
emberjs/ember.js,10731,16544,426577792,260,alive,,0,
knockout/knockout,10731,16544,426577792,260,abandonment,1033.0,0,
yui/yui3,10731,16544,426577792,260,abandonment,3560.0,0,
jquery/jquery,10731,16544,426577792,260,alive,,0,
dojo/dojo,10731,16544,426577792,260,abandonment,426.0,0,
apache/cordova-android,10731,16544,426577792,260,dormant,1.4,0,
facebook/react-native,10731,16544,426577792,260,alive,,0,
flutter/flutter,10731,16544,426577792,260,alive,,0,
apache/lenya,10731,16544,426577792,260,abandonment,4686.0,0,
WordPress/WordPress,10731,16544,426577792,260,alive,,0,
drupal/drupal,10731,16544,426577792,260,alive,,0,
dresende/node-orm2,10731,16544,426577792,260,abandonment,395.0,0,
sequelize/sequelize,10731,16544,426577792,260,alive,,0,
typeorm/typeorm,10731,16544,426577792,260,alive,,0,
google/volley,10731,16544,426577792,260,dormant,0.4,0,
apache/httpcomponents-client,10731,16544,426577792,260,alive,,0,
square/okhttp,10731,16544,426577792,260,alive,,0,
karma-runner/karma,10731,16544,426577792,260,dormant,0.5,0,
mochajs/mocha,10731,16544,426577792,260,dormant,1.0,0,
jestjs/jest,10731,16544,426577792,260,alive,,0,
basho/riak_kv,10731,16544,426577792,260,abandonment,365.0,0,
redis/redis,10731,16544,426577792,260,alive,,0,
memcached/memcached,10731,16544,426577792,260,alive,,0,
Carthage/Carthage,10731,16544,426577792,260,dormant,1.5,0,
CocoaPods/CocoaPods,10731,16544,426577792,260,alive,,0,
apple/swift-package-manager,10731,16544,426577792,260,alive,,0,
less/less,10731,16544,426577792,260,dormant,0.8,0,
stylus/stylus,10731,16544,426577792,260,dormant,1.1,0,
sass/node-sass,10731,16544,426577792,260,abandonment,426.0,0,
requirejs/requirejs,10731,16544,426577792,260,abandonment,1551.0,0,
browserify/browserify,10731,16544,426577792,260,dormant,0.2,0,
jashkenas/backbone,10731,16544,426577792,260,alive,,0,
angular/angular,10731,16544,426577792,260,alive,,0,
rails/rails,10731,16544,426577792,260,alive,,0,
django/django,10731,16544,426577792,260,alive,,0,
mysql/mysql-server,10731,16544,426577792,260,alive,,0,
postgres/postgres,10731,16544,426577792,260,alive,,0,
FirebirdSQL/firebird,10731,16544,426577792,260,alive,,0,
python/cpython,10731,16544,426577792,260,alive,,0,
ruby/ruby,10731,16544,426577792,260,alive,,0,
nodejs/node,10731,16544,426577792,260,alive,,0,
apache/httpd,10731,16544,426577792,260,alive,,0,
nginx/nginx,10731,16544,426577792,260,alive,,0,
h2o/h2o,10731,16544,426577792,260,alive,,0,
apache/struts,10731,16544,426577792,260,alive,,0,
playframework/playframework,10731,16544,426577792,260,alive,,0,
spring-projects/spring-boot,10731,16544,426577792,260,alive,,0,
tidev/titanium-sdk,10731,16544,426577792,260,alive,,0,
apache/cassandra,10731,16544,426577792,260,alive,,0,
mrdoob/three.js,10731,16544,426577792,260,alive,,0,
BabylonJS/Babylon.js,10731,16544,426577792,260,alive,,0,
playcanvas/engine,10731,16544,426577792,260,alive,,0,
hashicorp/nomad,10731,16544,426577792,260,alive,,0,
vercel/next.js,10731,16544,426577792,260,alive,,0,
nuxt/nuxt,10731,16544,426577792,260,alive,,0,
remix-run/remix,10731,16544,426577792,260,alive,,0,
chef/chef,10731,16544,426577792,260,alive,,0,
hashicorp/terraform,10731,16544,426577792,260,alive,,0,
pulumi/pulumi,10731,16544,426577792,260,alive,,0,
