period_shift,Tm,group,nobs,lag,aic,bic,hqic,whiteness_test_lag,whiteness_test_statistic,whiteness_test_pvalue
original,T1,1_0,365,4,14.751205717347899,15.176593305487451,14.92043613241515,10,47.599312456644476,0.7181027328104315
original,T2,1_0,730,9,16.678602888369674,17.212848863104185,16.884851108005158,10,9.369326949322566,0.40390379924679626
original,T3,1_0,1095,8,17.969477767332823,18.314362693552262,18.10003796832811,10,20.67460985328477,0.2961460368483222
original,T4,1_0,1277,10,17.45344581220107,17.831054231908936,17.59530638827215,20,93.27638443910656,0.3855741261049122
1_month_shifted,T1,1_0,365,4,15.844028282615453,16.269415870755005,16.013258697682705,10,63.900136627486916,0.16771513735982232
1_month_shifted,T2,1_0,730,10,16.429364184746596,17.020850799631233,16.657710427914456,20,72.88158093981377,0.9060202926941325
1_month_shifted,T3,1_0,1095,8,17.9825358914745,18.32742081769394,18.11309609246979,10,19.57100193344847,0.35748215748116363
1_month_shifted,T4,1_0,1278,10,17.43204807837052,17.809416564612427,17.57381297479838,20,95.51388240214038,0.3255107260893843
2_month_shifted,T1,1_0,365,4,15.509847082681317,15.935234670820869,15.679077497748567,10,51.81557349990994,0.5590950973702161
2_month_shifted,T2,1_0,730,10,16.369266925576113,16.96075354046075,16.597613168743973,20,75.20954841959077,0.8684123964832322
2_month_shifted,T3,1_0,1095,8,17.966576177400626,18.311461103620065,18.097136378395913,10,19.980124143425304,0.33393979117338346
2_month_shifted,T4,1_0,1277,10,17.40089742649183,17.778505846199696,17.54275800256291,20,95.60127782679223,0.3232609436518487
3_month_shifted,T1,1_0,365,10,16.677485147557185,17.691870934659196,17.0810345988714,20,51.825896716961985,0.9995799190107179
3_month_shifted,T2,1_0,730,9,16.75899844038595,17.293244415120462,16.965246660021435,10,12.207249888720646,0.20187614226185777
3_month_shifted,T3,1_0,1095,8,17.97319745352868,18.31808237974812,18.103757654523967,10,18.57226775515348,0.41859461993658115
3_month_shifted,T4,1_0,1278,10,17.40344040931533,17.780808895557236,17.54520530574319,20,100.18301417639263,0.21728688683930228
original,T1,2_0,366,10,13.848295381113838,14.860566611364508,14.250961488195141,20,94.85406019900533,0.3427421865942109
original,T2,2_0,731,7,15.131862217143052,15.551171763690634,15.293728246769794,10,29.972558779687304,0.315388242393951
original,T3,2_0,823,6,15.07885690725415,15.408428461060083,15.205366989794094,10,31.117615576408667,0.6998918681989319
1_month_shifted,T1,2_0,366,7,14.487834394745668,15.206220429117112,14.773597438480788,10,31.469803946674006,0.2522892828951294
1_month_shifted,T2,2_0,731,7,15.353644897137547,15.77295444368513,15.51551092676429,10,26.28991967787214,0.5025585571243749
1_month_shifted,T3,2_0,821,7,15.488701240767284,15.871051045417861,15.63548800667908,10,25.131957424938037,0.5670669726609735
2_month_shifted,T1,2_0,366,7,14.50242280624629,15.220808840617734,14.78818584998141,10,27.358727333202143,0.44457464075098024
2_month_shifted,T2,2_0,731,7,15.395006352805352,15.814315899352934,15.556872382432093,10,25.966050332059382,0.5204853002197194
2_month_shifted,T3,2_0,821,7,15.5278195482093,15.910169352859876,15.674606314121094,10,26.415843823165385,0.4956249187372227
3_month_shifted,T1,2_0,366,3,14.402523939292125,14.729063045824601,14.532416231899,10,64.66843698533741,0.4181414051898136
3_month_shifted,T2,2_0,731,7,15.51071436526936,15.930023911816942,15.672580394896102,10,21.832935794426113,0.7458176547034299
3_month_shifted,T3,2_0,820,7,15.535489449121139,15.91821075819026,15.682427413073185,10,25.407564567176827,0.5516329121307281
original,T1,3_0,365,4,12.12233639431709,12.547723982456642,12.29156680938434,10,51.88325058311359,0.5564563677799825
original,T2,3_0,731,7,12.584414839650037,13.00372438619762,12.746280869276779,10,30.30714268110585,0.30053123029618345
original,T3,3_0,823,7,12.580610390173957,12.962219557738724,12.727095748904418,10,29.0775940914082,0.3571466012163162
1_month_shifted,T1,3_0,365,10,12.201682907507196,13.216068694609206,12.60523235882141,20,106.23071800284015,0.11646227395592817
1_month_shifted,T2,3_0,731,7,12.362021477346712,12.781331023894294,12.523887506973454,10,37.04897398420465,0.09415696925903637
1_month_shifted,T3,3_0,823,7,12.328097794184828,12.709706961749594,12.474583152915288,10,40.700096207448404,0.04400052595419129
2_month_shifted,T1,3_0,365,7,12.293815812946061,13.013702500566843,12.580205746136794,10,48.22536547685944,0.007245066349860581
2_month_shifted,T2,3_0,731,7,12.365184449855914,12.784493996403496,12.527050479482655,10,35.71053048679764,0.12176472579554784
2_month_shifted,T3,3_0,823,7,12.320838501689307,12.702447669254074,12.467323860419768,10,42.461720957738514,0.02962274910958039
3_month_shifted,T1,3_0,365,6,11.956102851247469,12.577823172374506,12.203439611730374,10,54.21172922592658,0.026208371207242225
3_month_shifted,T2,3_0,731,8,11.931453484600246,12.407941605677042,12.115392154630634,10,25.04865431032812,0.12358185432842486
3_month_shifted,T3,3_0,822,7,12.408293226852418,12.790272318540437,12.554929124725243,10,39.32665351429435,0.05915274048326599
original,T1,4_0,365,2,11.54275696356012,11.771811818712186,11.633881033211715,10,54.51285523201567,0.9380512088151032
original,T2,4_0,730,4,11.680251915168972,11.928294689152853,11.77601001714259,10,63.677973259507816,0.1725571792675556
original,T3,4_0,1095,4,11.749081593844135,11.928421755478244,11.816972898361685,10,48.297890713281355,0.6930433656243108
original,T4,4_0,1461,4,11.939859077639046,12.081775219515327,11.992815863080796,10,56.64037289872381,0.37676316980138974
1_month_shifted,T1,4_0,365,2,11.589804782186143,11.818859637338209,11.680928851837738,10,77.06206141617453,0.320030440960062
1_month_shifted,T2,4_0,730,4,11.87651378754218,12.124556561526061,11.972271889515799,10,50.9504599866627,0.592757147602948
1_month_shifted,T3,4_0,1095,4,11.813822041618014,11.993162203252123,11.881713346135564,10,49.092589994875176,0.6637159330801327
1_month_shifted,T4,4_0,1461,10,11.705175104564523,12.043590519807962,11.831456669848697,20,93.20697556122285,0.38750669907440366
2_month_shifted,T1,4_0,365,2,11.569306345335466,11.798361200487532,11.660430414987061,10,73.08811030221786,0.44206101190444097
2_month_shifted,T2,4_0,730,4,11.893504553136038,12.14154732711992,11.989262655109657,10,53.41717883597795,0.4968169398401816
2_month_shifted,T3,4_0,1096,4,11.848208185939331,12.027416292310658,11.91604644153042,10,54.881467106764006,0.4409812752859984
2_month_shifted,T4,4_0,1461,10,11.717818046496165,12.056233461739604,11.844099611780338,20,90.44970868259026,0.46686226488911703
3_month_shifted,T1,4_0,365,2,11.557084013518214,11.78613886867028,11.64820808316981,10,79.87829277756641,0.24537917292155326
3_month_shifted,T2,4_0,730,4,11.848371036170393,12.096413810154274,11.944129138144012,10,56.149913813830054,0.3942769318378803
3_month_shifted,T3,4_0,1096,10,11.78202425066051,12.209366658161368,11.943792398608492,20,101.77926648364183,0.18631699196026838
