,mysql/mysql-server,postgres/postgres,FirebirdSQL/firebird
2001-06-23,5.268022787559076,5.011024183140314,0.04398326961249213
2001-06-24,6.083993305005768,5.830038646385545,0.11402353435419739
2001-06-25,2.9695080804920084,5.72643475494072,0.09171364401514226
2001-06-26,2.593120696418756,4.81394537566318,-0.09697866522074061
2001-06-27,1.667113856067722,5.631692018697309,0.07469986388373123
2001-06-28,4.612677460884607,4.984303052731179,-0.04861098199645742
2001-06-29,3.6367224221303363,5.377036634755745,-0.06273998184502881
2001-06-30,2.406570762527237,6.648942615322804,-0.03890690103229952
2001-07-01,-0.3531301090373673,4.388317164569779,0.08156264433307268
2001-07-02,3.5677293151444402,2.1736339308319916,0.04895679605068962
2001-07-03,1.7383895172401092,5.664598744669583,-0.12864755846198178
2001-07-04,1.3794167396316963,4.811060079134622,0.08216648653689225
2001-07-05,-3.5062911141055517,4.0481382209950905,0.018712126003157293
2001-07-06,-7.2962754741987705,5.641114150819813,0.06184507166428292
2001-07-07,7.94395441091998,5.088309355948184,-0.093537780793754
2001-07-08,2.8496254588873966,5.054094946176556,0.007963597586406563
2001-07-09,-0.2162228003837101,8.888468443095674,-0.0006378265522608579
2001-07-10,3.602864245132079,6.43896550547502,0.8538773215950899
2001-07-11,6.617239078920238,15.884524638607488,0.06267837775624571
2001-07-12,6.072856258234203,11.215106526974655,6.09807175358271
2001-07-13,-0.5090287402697857,2.928930402498365,0.2107628373106755
2001-07-14,-0.05879873342264119,3.3269616638302506,0.8932150874206207
2001-07-15,3.0005422095056358,8.87786101958688,-0.12383130325341994
2001-07-16,5.88834573398691,6.616137019018335,-0.022282715804066038
2001-07-17,3.207683069746407,2.2331256264271677,-0.17390522096267294
2001-07-18,1.2767777566453447,2.1227021963705224,0.027610163536590432
2001-07-19,-0.19272841327782197,2.289901616152106,0.17564990696047636
2001-07-20,1.852940901208144,6.436379352823456,0.4173881673469319
2001-07-21,0.6894353041219361,11.918682892573358,0.014490333306703997
2001-07-22,2.1868087188027916,1.7844361589442137,-0.4391140247889819
2001-07-23,0.48602555647388446,-3.66048792397408,0.952150612597897
2001-07-24,3.3257532875196167,-0.7311003177414245,-0.30565863134103605
2001-07-25,0.28286765756657406,0.5109355007353418,-0.21536505341580942
2001-07-26,-3.477243779407207,-0.039265142285232035,0.38247615110933775
2001-07-27,1.0457181824360517,0.7029844929439891,0.7354512159965001
2001-07-28,3.3602650306813593,1.912173262177665,0.1692056410202199
2001-07-29,1.2402227760782747,2.622758925160712,3.6494087302889144
2001-07-30,2.9606502292977885,4.980498408664046,-0.3064104466727629
2001-07-31,0.908248729233077,7.167458169451454,1.4273805768530812
2001-08-01,-1.3772144511960867,10.207990480220738,2.4836026036645578
2001-08-02,6.436906254565356,6.385652129078017,1.6189072845512427
2001-08-03,1.9262103515151274,4.40353611479853,0.9217834368015859
2001-08-04,0.3824005327839153,11.362164654919297,2.371122659379405
2001-08-05,1.1589905572205303,5.6320052235750735,0.8120916711586614
2001-08-06,1.437380293395465,8.873182549811528,2.628202489095686
2001-08-07,0.12507121516531328,7.644847175084031,2.233138634494827
2001-08-08,7.911765119407125,2.3655290553340036,0.16534730504354422
2001-08-09,6.2201673099222194,5.696484358364895,0.6780277809302003
2001-08-10,17.552697597030132,16.26246077542175,0.9109605917485094
2001-08-11,0.9456995885301094,3.581030172347478,0.37219613663823015
2001-08-12,0.5771620139313312,4.876242372258065,0.2636466072869127
2001-08-13,1.934802198824424,2.3202162908187107,0.38628993955694413
2001-08-14,1.602239421334211,3.44730745895107,0.24456110391216346
2001-08-15,-0.7025281074844969,13.785727256517493,2.345649147866608
2001-08-16,-3.725728724284102,5.594306416173914,0.5609624239593797
2001-08-17,4.197987555473358,8.070898297607432,0.6091776308468795
2001-08-18,2.834342488868401,2.7451394597497263,0.35811972743777126
2001-08-19,2.619215972519713,4.084724332038375,0.403967015234651
2001-08-20,1.5786100047515284,-0.7668399453634331,0.36170157100588696
2001-08-21,7.822842621359809,24.64822490979258,0.5745905403175278
2001-08-22,1.8844143172981331,7.897641117898379,-0.4443713622844511
2001-08-23,-1.5766105704449016,7.268338059408032,0.34403040570183296
2001-08-24,-2.9483676526926277,6.435876183429313,0.30483908323408565
2001-08-25,2.731838987109725,9.462659261312412,0.2658533957304318
2001-08-26,1.995412216334886,13.867164088560884,0.23024163224012342
2001-08-27,1.761977403460628,8.90756360676064,0.5587447179677427
2001-08-28,2.127796603259574,5.155442947505614,-0.17729397164938432
2001-08-29,9.821659035812726,4.731058852729978,-0.11826962784542983
2001-08-30,4.2813389363467165,3.4901647360962524,0.14478532479989673
2001-08-31,8.24609763796089,1.2874744154145605,0.1295051113601522
2001-09-01,-0.8568632912920799,0.22367313409457465,0.11683450255635522
2001-09-02,6.09663315257513,3.7907972811948154,0.10786142187720998
2001-09-03,3.9288979711707475,2.6180997843775264,-0.25511230272942803
2001-09-04,1.0212194727457442,17.845954900473178,-0.10680177040276712
2001-09-05,-2.0926900138889684,1.7973998590679856,-0.017548701633050452
2001-09-06,3.407335672578614,39.4561996627213,0.07303044061038198
2001-09-07,0.35414116838743137,27.084858637443872,0.06993881336505306
2001-09-08,0.4728574632850857,8.218849080415195,0.07249711643703256
2001-09-09,0.759899286193098,5.799628574878604,0.0785210890440823
2001-09-10,1.318191769576527,28.78462236697682,-0.01573731018269702
2001-09-11,2.085654850635252,11.802223915899711,-0.16934338964832943
2001-09-12,2.575136082945926,12.572624706735432,-0.17199766996601387
2001-09-13,4.126617348445796,9.986888965319089,0.08080980356183479
