,flutter/flutter,facebook/react-native,tidev/titanium-sdk
2019-02-28,3.877549115239823,17.933248616847784,1.3556339638170432
2019-03-01,16.790170474463125,8.992888006584263,2.9423191233177364
2019-03-02,11.043984621481155,13.157936550273583,2.6996006767157947
2019-03-03,12.260604166984196,25.82410533294722,2.8096774931032904
2019-03-04,8.351263507643536,19.06311632195821,5.838523646949445
2019-03-05,-4.621263964883937,18.656522915364803,-1.5199928365670392
2019-03-06,10.297692079072107,4.372182256024143,1.8742379326637302
2019-03-07,2.877549115239823,1.9332486168477843,3.355633963817043
2019-03-08,10.790170474463123,3.992888006584262,7.942319123317737
2019-03-09,23.043984621481155,4.1579365502735826,2.6996006767157947
2019-03-10,17.260604166984194,6.8241053329472185,2.8096774931032904
2019-03-11,9.351263507643536,2.0631163219582085,0.8385236469494446
2019-03-12,9.378736035116063,6.656522915364802,-0.5199928365670392
2019-03-13,2.297692079072106,21.372182256024143,0.8742379326637302
2019-03-14,3.877549115239823,6.933248616847784,-0.644366036182957
2019-03-15,20.790170474463125,20.992888006584263,4.942319123317737
2019-03-16,14.043984621481155,9.157936550273583,2.6996006767157947
2019-03-17,13.260604166984196,7.8241053329472185,2.8096774931032904
2019-03-18,11.351263507643536,18.06311632195821,-1.1614763530505554
2019-03-19,8.378736035116063,26.656522915364803,-0.5199928365670392
2019-03-20,9.297692079072107,12.372182256024143,0.8742379326637302
2019-03-21,14.877549115239823,11.933248616847784,2.355633963817043
2019-03-22,3.7901704744631233,9.992888006584263,0.9423191233177365
2019-03-23,12.043984621481155,11.157936550273583,2.6996006767157947
2019-03-24,13.260604166984196,9.82410533294722,2.8096774931032904
2019-03-25,6.3512635076435355,10.063116321958208,4.838523646949445
2019-03-26,7.378736035116063,12.656522915364802,-0.5199928365670392
2019-03-27,11.297692079072107,7.372182256024143,7.87423793266373
2019-03-28,4.877549115239823,1.9332486168477843,1.3556339638170432
2019-03-29,13.790170474463123,10.992888006584263,-0.057680876682263536
2019-03-30,16.043984621481155,7.1579365502735826,2.6996006767157947
2019-03-31,14.260604166984196,8.82410533294722,2.8096774931032904
2019-04-01,6.3512635076435355,17.06311632195821,7.838523646949445
2019-04-02,9.378736035116063,7.656522915364802,2.480007163432961
2019-04-03,5.297692079072106,15.372182256024143,4.87423793266373
2019-04-04,12.877549115239823,15.933248616847784,-0.644366036182957
2019-04-05,13.790170474463123,3.992888006584262,0.9423191233177365
2019-04-06,11.043984621481155,6.1579365502735826,2.6996006767157947
2019-04-07,13.260604166984196,9.82410533294722,2.8096774931032904
2019-04-08,9.351263507643536,9.063116321958208,24.838523646949444
2019-04-09,8.378736035116063,4.656522915364802,-1.5199928365670392
2019-04-10,10.297692079072107,20.372182256024143,-0.1257620673362698
2019-04-11,10.877549115239823,5.933248616847784,-0.644366036182957
2019-04-12,-1.2098295255368767,4.992888006584262,5.942319123317737
2019-04-13,10.043984621481155,4.1579365502735826,2.6996006767157947
2019-04-14,11.260604166984196,8.82410533294722,2.8096774931032904
2019-04-15,12.351263507643536,17.06311632195821,4.838523646949445
2019-04-16,11.378736035116063,8.656522915364802,1.4800071634329608
2019-04-17,7.297692079072106,9.372182256024143,4.87423793266373
2019-04-18,11.877549115239823,3.9332486168477843,1.3556339638170432
2019-04-19,9.790170474463123,-0.007111993415738205,-0.057680876682263536
2019-04-20,9.043984621481155,8.157936550273583,2.6996006767157947
2019-04-21,11.260604166984196,7.8241053329472185,2.8096774931032904
2019-04-22,19.351263507643534,3.0631163219582085,2.8385236469494446
2019-04-23,10.378736035116063,15.656522915364802,-0.5199928365670392
2019-04-24,11.297692079072107,9.372182256024143,0.8742379326637302
2019-04-25,22.877549115239823,12.933248616847784,1.3556339638170432
2019-04-26,13.790170474463123,8.992888006584263,1.9423191233177364
2019-04-27,14.043984621481155,7.1579365502735826,2.6996006767157947
2019-04-28,12.260604166984196,6.8241053329472185,2.8096774931032904
2019-04-29,21.351263507643534,15.063116321958208,-3.1614763530505554
2019-04-30,12.378736035116063,25.656522915364803,-1.5199928365670392
2019-05-01,17.297692079072107,8.372182256024143,5.87423793266373
2019-05-02,15.877549115239823,1.9332486168477843,0.35563396381704304
2019-05-03,13.790170474463123,20.992888006584263,0.9423191233177365
2019-05-04,17.043984621481155,6.1579365502735826,2.6996006767157947
2019-05-05,11.260604166984196,6.8241053329472185,2.8096774931032904
2019-05-06,16.351263507643534,5.0631163219582085,-3.1614763530505554
2019-05-07,3.378736035116063,20.656522915364803,-1.5199928365670392
2019-05-08,3.297692079072106,17.372182256024143,1.8742379326637302
2019-05-09,6.877549115239823,21.933248616847784,0.35563396381704304
2019-05-10,16.790170474463125,8.992888006584263,1.9423191233177364
2019-05-11,10.043984621481155,5.1579365502735826,2.6996006767157947
2019-05-12,14.260604166984196,7.8241053329472185,2.8096774931032904
2019-05-13,13.351263507643536,14.063116321958208,-2.1614763530505554
2019-05-14,14.378736035116063,8.656522915364802,-0.5199928365670392
2019-05-15,8.297692079072107,12.372182256024143,3.87423793266373
2019-05-16,6.877549115239823,17.933248616847784,1.3556339638170432
2019-05-17,6.790170474463123,2.992888006584262,2.9423191233177364
2019-05-18,11.043984621481155,8.157936550273583,2.6996006767157947
2019-05-19,13.260604166984196,6.8241053329472185,2.8096774931032904
2019-05-20,20.351263507643534,26.06311632195821,3.8385236469494446
2019-05-21,17.378736035116063,10.656522915364802,0.4800071634329608
2019-05-22,2.297692079072106,24.372182256024143,1.8742379326637302
2019-05-23,1.8775491152398232,7.933248616847784,6.355633963817043
