,kubernetes/kubernetes,apache/mesos,hashicorp/nomad
2015-06-01,69.99000358171648,15.61324892167472,5.991525811220679
2015-06-02,63.94007292984408,16.523096355794,-3.7546600417612903
2015-06-03,106.57114089100912,9.259573470911889,4.159348280014022
2015-06-04,62.17655004496197,36.03185822499276,5.156440993126153
2015-06-05,69.5158357592477,2.3560340491685845,4.78281461949978
2015-06-06,37.7617148801268,7.703561521696058,5.34325417993934
2015-06-07,41.04468191309384,7.512627455761991,19.321276157961318
2015-06-08,60.99000358171648,7.613248921674719,1.9915258112206793
2015-06-09,63.94007292984408,6.523096355793998,-3.7546600417612903
2015-06-10,81.57114089100912,12.259573470911889,-2.840651719985978
2015-06-11,64.17655004496197,14.03185822499276,-1.8435590068738474
2015-06-12,65.5158357592477,8.356034049168585,-2.217185380500221
2015-06-13,47.7617148801268,6.703561521696058,5.34325417993934
2015-06-14,39.04468191309384,37.512627455761994,5.321276157961317
2015-06-15,57.99000358171648,12.61324892167472,-0.008474188779320822
2015-06-16,92.94007292984408,-1.476903644206002,7.245339958238709
2015-06-17,64.57114089100912,7.2595734709118895,-2.840651719985978
2015-06-18,101.17655004496197,1.0318582249927601,-1.8435590068738474
2015-06-19,79.5158357592477,7.356034049168585,-2.217185380500221
2015-06-20,37.7617148801268,8.703561521696058,5.34325417993934
2015-06-21,43.04468191309384,14.51262745576199,5.321276157961317
2015-06-22,51.99000358171648,9.61324892167472,-0.008474188779320822
2015-06-23,35.94007292984408,13.523096355793998,-3.7546600417612903
2015-06-24,68.57114089100912,12.259573470911889,-2.840651719985978
2015-06-25,44.17655004496197,15.03185822499276,-1.8435590068738474
2015-06-26,31.515835759247686,6.356034049168585,-2.217185380500221
2015-06-27,38.7617148801268,14.703561521696058,5.34325417993934
2015-06-28,44.04468191309384,10.51262745576199,5.321276157961317
2015-06-29,67.99000358171648,19.613248921674717,-0.008474188779320822
2015-06-30,57.94007292984408,1.523096355793998,-3.7546600417612903
2015-07-01,74.57114089100912,4.2595734709118895,-2.840651719985978
2015-07-02,13.176550044961974,12.03185822499276,-1.8435590068738474
2015-07-03,7.515835759247688,-0.6439659508314155,0.7828146194997792
2015-07-04,36.7617148801268,5.703561521696058,13.34325417993934
2015-07-05,47.04468191309384,8.51262745576199,5.321276157961317
2015-07-06,61.99000358171648,17.613248921674717,9.99152581122068
2015-07-07,71.94007292984408,17.523096355794,-0.7546600417612903
2015-07-08,89.57114089100912,1.2595734709118895,-2.840651719985978
2015-07-09,67.17655004496197,14.03185822499276,-1.8435590068738474
2015-07-10,67.5158357592477,-0.6439659508314155,-2.217185380500221
2015-07-11,67.7617148801268,6.703561521696058,5.34325417993934
2015-07-12,44.04468191309384,7.512627455761991,5.321276157961317
2015-07-13,86.99000358171648,0.613248921674719,-0.008474188779320822
2015-07-14,57.94007292984408,-2.476903644206002,-3.7546600417612903
2015-07-15,52.57114089100913,6.2595734709118895,-2.840651719985978
2015-07-16,11.176550044961974,9.03185822499276,-1.8435590068738474
2015-07-17,59.515835759247686,20.356034049168585,-2.217185380500221
2015-07-18,84.7617148801268,6.703561521696058,5.34325417993934
2015-07-19,98.04468191309384,12.51262745576199,5.321276157961317
2015-07-20,63.99000358171648,0.613248921674719,-0.008474188779320822
2015-07-21,-5.0599270701559185,2.523096355793998,-3.7546600417612903
2015-07-22,8.57114089100913,10.259573470911889,-2.840651719985978
2015-07-23,82.17655004496197,5.03185822499276,4.156440993126153
2015-07-24,118.5158357592477,29.356034049168585,8.78281461949978
2015-07-25,45.7617148801268,9.703561521696058,5.34325417993934
2015-07-26,42.04468191309384,7.512627455761991,5.321276157961317
2015-07-27,53.99000358171648,8.61324892167472,4.991525811220679
2015-07-28,19.94007292984408,9.523096355793998,4.245339958238709
2015-07-29,54.57114089100913,13.259573470911889,3.159348280014022
2015-07-30,45.17655004496197,13.03185822499276,-1.8435590068738474
2015-07-31,53.515835759247686,7.356034049168585,-2.217185380500221
2015-08-01,37.7617148801268,14.703561521696058,5.34325417993934
2015-08-02,41.04468191309384,7.512627455761991,5.321276157961317
2015-08-03,42.99000358171648,4.613248921674719,-0.008474188779320822
2015-08-04,37.94007292984408,3.523096355793998,1.2453399582387097
2015-08-05,48.57114089100913,12.259573470911889,19.159348280014022
2015-08-06,57.17655004496197,6.03185822499276,7.156440993126153
2015-08-07,66.5158357592477,17.356034049168585,5.78281461949978
2015-08-08,36.7617148801268,8.703561521696058,5.34325417993934
2015-08-09,43.04468191309384,15.51262745576199,5.321276157961317
2015-08-10,84.99000358171648,13.61324892167472,-0.008474188779320822
2015-08-11,49.94007292984408,16.523096355794,2.2453399582387097
2015-08-12,69.57114089100912,7.2595734709118895,2.159348280014022
2015-08-13,49.17655004496197,21.03185822499276,20.156440993126154
2015-08-14,36.515835759247686,12.356034049168585,20.782814619499778
2015-08-15,35.7617148801268,10.703561521696058,24.34325417993934
2015-08-16,39.04468191309384,13.51262745576199,25.321276157961318
2015-08-17,69.99000358171648,8.61324892167472,3.9915258112206793
2015-08-18,64.94007292984408,14.523096355793998,-3.7546600417612903
2015-08-19,52.57114089100913,-1.7404265290881105,-2.840651719985978
2015-08-20,49.17655004496197,1.0318582249927601,10.156440993126152
2015-08-21,57.515835759247686,-1.6439659508314155,-1.2171853805002208
2015-08-22,38.7617148801268,5.703561521696058,5.34325417993934
2015-08-23,41.04468191309384,7.512627455761991,32.321276157961314
2015-08-24,60.99000358171648,1.613248921674719,3.9915258112206793
2015-08-25,42.94007292984408,1.523096355793998,3.2453399582387097
