,memcached/memcached,redis/redis,basho/riak_kv
2010-07-22,-0.055044648132205734,5.440428925912797,0.5841528671021758
2010-07-23,0.0349234482875036,0.9299184686281461,-0.5429710842153238
2010-07-24,0.07363312570685841,4.403651187522155,1.3676279941256897
2010-07-25,0.08598099289343529,1.4688172043010752,2.4449587279080367
2010-07-26,-0.06145490454246214,-0.38283114734727636,1.0017352846845935
2010-07-27,-0.003762596850154457,6.186765922249793,-0.8123672794179706
2010-07-28,-0.07427541736297495,1.9532494387333097,-1.0431365101872012
2010-07-29,-0.055044648132205734,3.440428925912797,2.584152867102176
2010-07-30,0.0349234482875036,-0.07008153137185387,0.4570289157846762
2010-07-31,0.07363312570685841,2.403651187522155,1.3676279941256897
2010-08-01,0.08598099289343529,4.468817204301075,8.444958727908038
2010-08-02,-0.06145490454246214,1.6171688526527237,4.001735284684593
2010-08-03,-0.003762596850154457,8.186765922249794,8.18763272058203
2010-08-04,-0.07427541736297495,5.95324943873331,4.956863489812799
2010-08-05,-0.055044648132205734,0.4404289259127969,0.5841528671021758
2010-08-06,0.0349234482875036,-0.07008153137185387,-0.5429710842153238
2010-08-07,0.07363312570685841,1.4036511875221553,1.3676279941256897
2010-08-08,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-08-09,-0.06145490454246214,-0.38283114734727636,0.0017352846845934528
2010-08-10,-0.003762596850154457,-0.8132340777502067,-0.8123672794179706
2010-08-11,-0.07427541736297495,-1.0467505612666903,-1.0431365101872012
2010-08-12,-0.055044648132205734,-0.5595710740872031,-0.4158471328978241
2010-08-13,0.0349234482875036,0.9299184686281461,2.4570289157846763
2010-08-14,0.07363312570685841,1.4036511875221553,3.36762799412569
2010-08-15,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-08-16,-0.06145490454246214,-0.38283114734727636,0.0017352846845934528
2010-08-17,-0.003762596850154457,-0.8132340777502067,0.1876327205820294
2010-08-18,-0.07427541736297495,-1.0467505612666903,2.9568634898127986
2010-08-19,-0.055044648132205734,-0.5595710740872031,4.584152867102176
2010-08-20,0.0349234482875036,1.929918468628146,-0.5429710842153238
2010-08-21,0.07363312570685841,7.403651187522155,1.3676279941256897
2010-08-22,0.08598099289343529,1.4688172043010752,3.4449587279080367
2010-08-23,-0.06145490454246214,0.6171688526527237,1.0017352846845935
2010-08-24,-0.003762596850154457,8.186765922249794,2.1876327205820294
2010-08-25,-0.07427541736297495,4.95324943873331,1.9568634898127988
2010-08-26,-0.055044648132205734,16.440428925912798,0.5841528671021758
2010-08-27,0.0349234482875036,3.9299184686281463,-0.5429710842153238
2010-08-28,0.07363312570685841,1.4036511875221553,1.3676279941256897
2010-08-29,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-08-30,-0.06145490454246214,10.617168852652723,0.0017352846845934528
2010-08-31,-0.003762596850154457,8.186765922249794,-0.8123672794179706
2010-09-01,-0.07427541736297495,-0.046750561266690305,1.9568634898127988
2010-09-02,-0.055044648132205734,10.440428925912798,1.5841528671021758
2010-09-03,0.0349234482875036,2.9299184686281463,-0.5429710842153238
2010-09-04,0.07363312570685841,1.4036511875221553,1.3676279941256897
2010-09-05,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-09-06,-0.06145490454246214,2.6171688526527235,0.0017352846845934528
2010-09-07,-0.003762596850154457,1.1867659222497933,0.1876327205820294
2010-09-08,-0.07427541736297495,1.9532494387333097,-0.043136510187201216
2010-09-09,-0.055044648132205734,1.440428925912797,-0.4158471328978241
2010-09-10,0.0349234482875036,-0.07008153137185387,-0.5429710842153238
2010-09-11,0.07363312570685841,1.4036511875221553,1.3676279941256897
2010-09-12,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-09-13,-0.06145490454246214,3.6171688526527235,1.0017352846845935
2010-09-14,2.9962374031498453,1.1867659222497933,2.1876327205820294
2010-09-15,-0.07427541736297495,-0.046750561266690305,-1.0431365101872012
2010-09-16,-0.055044648132205734,7.440428925912797,-0.4158471328978241
2010-09-17,0.0349234482875036,1.929918468628146,0.4570289157846762
2010-09-18,0.07363312570685841,1.4036511875221553,1.3676279941256897
2010-09-19,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-09-20,-0.06145490454246214,-0.38283114734727636,0.0017352846845934528
2010-09-21,-0.003762596850154457,-0.8132340777502067,2.1876327205820294
2010-09-22,-0.07427541736297495,4.95324943873331,2.9568634898127986
2010-09-23,-0.055044648132205734,4.440428925912797,-0.4158471328978241
2010-09-24,0.0349234482875036,2.9299184686281463,4.457028915784676
2010-09-25,0.07363312570685841,1.4036511875221553,1.3676279941256897
2010-09-26,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-09-27,-0.06145490454246214,-0.38283114734727636,0.0017352846845934528
2010-09-28,-0.003762596850154457,-0.8132340777502067,-0.8123672794179706
2010-09-29,-0.07427541736297495,-1.0467505612666903,-1.0431365101872012
2010-09-30,-0.055044648132205734,-0.5595710740872031,-0.4158471328978241
2010-10-01,0.0349234482875036,-0.07008153137185387,-0.5429710842153238
2010-10-02,0.07363312570685841,1.4036511875221553,1.3676279941256897
2010-10-03,0.08598099289343529,1.4688172043010752,1.4449587279080367
2010-10-04,-0.06145490454246214,-0.38283114734727636,9.001735284684594
2010-10-05,-0.003762596850154457,-0.8132340777502067,1.1876327205820294
2010-10-06,-0.07427541736297495,-1.0467505612666903,3.9568634898127986
2010-10-07,-0.055044648132205734,1.440428925912797,-0.4158471328978241
2010-10-08,0.0349234482875036,-0.07008153137185387,3.4570289157846763
