,kubernetes/kubernetes,apache/mesos,hashicorp/nomad
2015-06-01,68.84547665219934,16.2782266752855,6.247691384246006
2015-06-02,65.91270354295564,17.46590174531351,-2.5058100163142183
2015-06-03,109.77544864099487,9.502316311139841,3.4941899836857813
2015-06-04,61.52911164465786,36.07525317819435,4.274571367008342
2015-06-05,68.60054021608644,1.1576707606119374,5.7992966417336165
2015-06-06,36.603287468833685,8.264813617754793,4.716879059316034
2015-06-07,39.73343183427217,6.255817711700064,18.973181580324436
2015-06-08,59.84547665219934,8.278226675285499,2.2476913842460062
2015-06-09,65.91270354295564,7.46590174531351,-2.5058100163142183
2015-06-10,84.77544864099487,12.502316311139841,-3.5058100163142187
2015-06-11,63.52911164465786,14.075253178194354,-2.7254286329916586
2015-06-12,64.60054021608644,7.157670760611937,-1.2007033582663833
2015-06-13,46.603287468833685,7.264813617754794,4.716879059316034
2015-06-14,37.73343183427217,36.25581771170006,4.973181580324438
2015-06-15,56.84547665219934,13.278226675285499,0.24769138424600615
2015-06-16,94.91270354295564,-0.5340982546864899,8.494189983685782
2015-06-17,67.77544864099487,7.502316311139841,-3.5058100163142187
2015-06-18,100.52911164465786,1.075253178194354,-2.7254286329916586
2015-06-19,78.60054021608644,6.157670760611937,-1.2007033582663833
2015-06-20,36.603287468833685,9.264813617754793,4.716879059316034
2015-06-21,41.73343183427217,13.255817711700065,4.973181580324438
2015-06-22,50.84547665219934,10.278226675285499,0.24769138424600615
2015-06-23,37.91270354295565,14.46590174531351,-2.5058100163142183
2015-06-24,71.77544864099487,12.502316311139841,-3.5058100163142187
2015-06-25,43.52911164465786,15.075253178194354,-2.7254286329916586
2015-06-26,30.600540216086436,5.157670760611937,-1.2007033582663833
2015-06-27,37.603287468833685,15.264813617754793,4.716879059316034
2015-06-28,42.73343183427217,9.255817711700065,4.973181580324438
2015-06-29,66.84547665219934,20.2782266752855,0.24769138424600615
2015-06-30,59.91270354295565,2.46590174531351,-2.5058100163142183
2015-07-01,77.77544864099487,4.502316311139841,-3.5058100163142187
2015-07-02,12.52911164465786,12.075253178194354,-2.7254286329916586
2015-07-03,6.600540216086436,-1.8423292393880626,1.7992966417336167
2015-07-04,35.603287468833685,6.264813617754794,12.716879059316035
2015-07-05,45.73343183427217,7.255817711700064,4.973181580324438
2015-07-06,60.84547665219934,18.2782266752855,10.247691384246005
2015-07-07,73.91270354295564,18.46590174531351,0.4941899836857817
2015-07-08,92.77544864099487,1.5023163111398414,-3.5058100163142187
2015-07-09,66.52911164465786,14.075253178194354,-2.7254286329916586
2015-07-10,66.60054021608644,-1.8423292393880626,-1.2007033582663833
2015-07-11,66.60328746883368,7.264813617754794,4.716879059316034
2015-07-12,42.73343183427217,6.255817711700064,4.973181580324438
2015-07-13,85.84547665219934,1.2782266752854992,0.24769138424600615
2015-07-14,59.91270354295565,-1.5340982546864899,-2.5058100163142183
2015-07-15,55.77544864099486,6.502316311139841,-3.5058100163142187
2015-07-16,10.52911164465786,9.075253178194354,-2.7254286329916586
2015-07-17,58.600540216086436,19.157670760611936,-1.2007033582663833
2015-07-18,83.60328746883368,7.264813617754794,4.716879059316034
2015-07-19,96.73343183427217,11.255817711700065,4.973181580324438
2015-07-20,62.84547665219934,1.2782266752854992,0.24769138424600615
2015-07-21,-3.0872964570443546,3.46590174531351,-2.5058100163142183
2015-07-22,11.775448640994862,10.502316311139841,-3.5058100163142187
2015-07-23,81.52911164465786,5.0752531781943535,3.2745713670083414
2015-07-24,117.60054021608644,28.157670760611936,9.799296641733617
2015-07-25,44.603287468833685,10.264813617754793,4.716879059316034
2015-07-26,40.73343183427217,6.255817711700064,4.973181580324438
2015-07-27,52.84547665219934,9.278226675285499,5.247691384246006
2015-07-28,21.912703542955647,10.46590174531351,5.494189983685782
2015-07-29,57.77544864099486,13.502316311139841,2.4941899836857813
2015-07-30,44.52911164465786,13.075253178194354,-2.7254286329916586
2015-07-31,52.600540216086436,6.157670760611937,-1.2007033582663833
2015-08-01,36.603287468833685,15.264813617754793,4.716879059316034
2015-08-02,39.73343183427217,6.255817711700064,4.973181580324438
2015-08-03,41.84547665219934,5.2782266752855,0.24769138424600615
2015-08-04,39.91270354295565,4.46590174531351,2.4941899836857817
2015-08-05,51.77544864099486,12.502316311139841,18.494189983685782
2015-08-06,56.52911164465786,6.0752531781943535,6.274571367008342
2015-08-07,65.60054021608644,16.157670760611936,6.7992966417336165
2015-08-08,35.603287468833685,9.264813617754793,4.716879059316034
2015-08-09,41.73343183427217,14.255817711700065,4.973181580324438
2015-08-10,83.84547665219934,14.278226675285499,0.24769138424600615
2015-08-11,51.91270354295565,17.46590174531351,3.4941899836857817
2015-08-12,72.77544864099487,7.502316311139841,1.4941899836857813
2015-08-13,48.52911164465786,21.075253178194355,19.274571367008342
2015-08-14,35.600540216086436,11.157670760611937,21.799296641733616
2015-08-15,34.603287468833685,11.264813617754793,23.716879059316035
2015-08-16,37.73343183427217,12.255817711700065,24.973181580324436
2015-08-17,68.84547665219934,9.278226675285499,4.247691384246006
2015-08-18,66.91270354295564,15.46590174531351,-2.5058100163142183
2015-08-19,55.77544864099486,-1.4976836888601586,-3.5058100163142187
2015-08-20,48.52911164465786,1.075253178194354,9.274571367008342
2015-08-21,56.600540216086436,-2.8423292393880626,-0.2007033582663833
2015-08-22,37.603287468833685,6.264813617754794,4.716879059316034
2015-08-23,39.73343183427217,6.255817711700064,31.973181580324436
2015-08-24,59.84547665219934,2.278226675285499,4.247691384246006
2015-08-25,44.91270354295565,2.46590174531351,4.494189983685782
