,postgres/postgres,FirebirdSQL/firebird,mysql/mysql-server
2009-05-23,0.8084581853652588,14.988081266860739,22.49555905259789
2009-05-24,3.941606590358324,19.777262958955053,29.591259468686655
2009-05-25,0.2037425126884212,29.537318437457134,21.962965432625627
2009-05-26,2.936725549069516,2.0539619880812667,1.0593326576336288
2009-05-27,7.172989285333252,25.700940010059288,13.423343646644618
2009-05-28,0.9477145600585268,23.456434515553795,16.19944254774352
2009-05-29,0.9887633171267013,21.48600082303272,13.268097194068067
2009-05-30,0.8084581853652588,11.988081266860739,24.49555905259789
2009-05-31,2.941606590358324,4.7772629589550535,28.591259468686655
2009-06-01,2.203742512688421,3.5373184374571336,10.962965432625627
2009-06-02,1.9367255490695159,14.053961988081268,-0.9406673423663712
2009-06-03,6.172989285333252,14.700940010059288,1.4233436466446179
2009-06-04,2.947714560058527,35.456434515553795,13.19944254774352
2009-06-05,3.9887633171267014,16.48600082303272,18.26809719406807
2009-06-06,4.808458185365259,35.98808126686074,32.49555905259789
2009-06-07,2.941606590358324,39.777262958955056,24.591259468686655
2009-06-08,3.203742512688421,86.53731843745713,1.9629654326256274
2009-06-09,6.936725549069516,46.05396198808127,-0.9406673423663712
2009-06-10,18.17298928533325,61.70094001005929,3.423343646644618
2009-06-11,8.947714560058527,7.456434515553795,11.19944254774352
2009-06-12,5.988763317126701,14.486000823032724,9.268097194068067
2009-06-13,2.808458185365259,13.988081266860739,24.49555905259789
2009-06-14,2.941606590358324,16.777262958955053,22.591259468686655
2009-06-15,0.2037425126884212,0.5373184374571336,14.962965432625627
2009-06-16,-1.0632744509304841,6.053961988081267,11.059332657633629
2009-06-17,3.172989285333252,10.700940010059288,13.423343646644618
2009-06-18,4.947714560058527,14.456434515553795,7.199442547743519
2009-06-19,2.9887633171267014,31.48600082303272,11.268097194068067
2009-06-20,1.8084581853652588,11.988081266860739,22.49555905259789
2009-06-21,2.941606590358324,25.777262958955053,23.591259468686655
2009-06-22,5.203742512688422,10.537318437457134,23.962965432625627
2009-06-23,2.936725549069516,13.053961988081268,4.059332657633629
2009-06-24,2.172989285333252,15.700940010059288,7.423343646644618
2009-06-25,5.947714560058527,37.456434515553795,15.19944254774352
2009-06-26,6.988763317126701,13.486000823032724,9.268097194068067
2009-06-27,2.808458185365259,41.98808126686074,22.49555905259789
2009-06-28,1.9416065903583242,25.777262958955053,22.591259468686655
2009-06-29,0.2037425126884212,9.537318437457134,13.962965432625627
2009-06-30,-0.06327445093048412,10.053961988081268,11.059332657633629
2009-07-01,1.172989285333252,0.7009400100592884,-6.576656353355382
2009-07-02,1.9477145600585268,-1.5435654844462052,5.199442547743519
2009-07-03,1.9887633171267012,15.486000823032724,16.26809719406807
2009-07-04,0.8084581853652588,11.988081266860739,21.49555905259789
2009-07-05,1.9416065903583242,13.777262958955053,22.591259468686655
2009-07-06,6.203742512688422,21.537318437457134,16.962965432625627
2009-07-07,6.936725549069516,24.053961988081266,8.059332657633629
2009-07-08,3.172989285333252,14.700940010059288,-2.576656353355382
2009-07-09,-1.0522854399414732,10.456434515553795,0.19944254774351933
2009-07-10,0.9887633171267013,9.486000823032724,17.26809719406807
2009-07-11,3.808458185365259,19.98808126686074,22.49555905259789
2009-07-12,2.941606590358324,13.777262958955053,24.591259468686655
2009-07-13,8.203742512688422,37.53731843745713,17.962965432625627
2009-07-14,2.936725549069516,41.05396198808127,14.059332657633629
2009-07-15,-0.8270107146667479,21.700940010059288,8.423343646644618
2009-07-16,2.947714560058527,4.456434515553795,13.19944254774352
2009-07-17,0.9887633171267013,30.48600082303272,2.2680971940680674
2009-07-18,1.8084581853652588,7.98808126686074,24.49555905259789
2009-07-19,3.941606590358324,13.777262958955053,28.591259468686655
2009-07-20,7.203742512688422,31.537318437457134,3.9629654326256274
2009-07-21,4.936725549069516,58.05396198808127,2.059332657633629
2009-07-22,4.172989285333252,6.700940010059289,-8.576656353355382
2009-07-23,4.947714560058527,22.456434515553795,-4.800557452256481
2009-07-24,4.988763317126701,8.486000823032724,9.268097194068067
2009-07-25,3.808458185365259,11.988081266860739,21.49555905259789
2009-07-26,2.941606590358324,10.777262958955053,23.591259468686655
2009-07-27,6.203742512688422,-0.46268156254286635,2.9629654326256274
2009-07-28,1.9367255490695159,12.053961988081268,-1.9406673423663712
2009-07-29,2.172989285333252,17.700940010059288,-5.576656353355382
2009-07-30,0.9477145600585268,9.456434515553795,3.1994425477435193
2009-07-31,0.9887633171267013,12.486000823032724,10.268097194068067
2009-08-01,2.808458185365259,16.98808126686074,23.49555905259789
2009-08-02,2.941606590358324,30.777262958955053,23.591259468686655
2009-08-03,3.203742512688421,68.53731843745713,9.962965432625627
2009-08-04,8.936725549069516,29.053961988081266,8.059332657633629
2009-08-05,4.172989285333252,44.70094001005929,-1.5766563533553821
2009-08-06,0.9477145600585268,16.456434515553795,1.1994425477435193
2009-08-07,9.9887633171267,13.486000823032724,2.2680971940680674
2009-08-08,1.8084581853652588,49.98808126686074,22.49555905259789
2009-08-09,2.941606590358324,12.777262958955053,22.591259468686655
2009-08-10,8.203742512688422,1.5373184374571336,1.9629654326256274
2009-08-11,3.936725549069516,2.0539619880812667,20.05933265763363
2009-08-12,5.172989285333252,-0.29905998994071165,9.423343646644618
2009-08-13,2.947714560058527,40.456434515553795,1.1994425477435193
2009-08-14,6.988763317126701,18.48600082303272,-3.7319028059319326
2009-08-15,3.808458185365259,13.988081266860739,21.49555905259789
2009-08-16,3.941606590358324,16.777262958955053,22.591259468686655
